Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
B.1.617.2,2020-03-27,3052,1,2726.42857142857,0.142857142857143,5.23971705527902e-05,1.80113530418323e-07,0.000920966961757491
B.1.617.2,2020-03-28,2399,0,2792.85714285714,0.142857142857143,5.1150895140665e-05,1.75793256407741e-07,0.000898886215711363
B.1.617.2,2020-03-29,2090,0,2802.28571428571,0.142857142857143,5.0978792822186e-05,1.75228660401155e-07,0.000896000552272906
B.1.617.2,2020-03-30,3262,1,2828.28571428571,0.285714285714286,0.000101020305081321,1.73617789812364e-07,0.000887767309076181
B.1.617.2,2020-03-31,3011,2,2825.85714285714,0.571428571428571,0.00020221424599363,3.81829893322762e-05,0.00165277824125931
B.1.617.2,2020-04-01,3049,0,2841.57142857143,0.571428571428571,0.00020109597305314,3.7968010449664e-05,0.00164348019941019
B.1.617.2,2020-04-02,2582,0,2777.85714285714,0.571428571428571,0.000205708408331191,3.88427851808141e-05,0.00168131451319453
B.1.617.2,2020-04-03,2690,0,2726.14285714286,0.428571428571429,0.000157207986165697,1.80113530418323e-07,0.000920966961757491
B.1.617.2,2020-04-04,1919,0,2657.57142857143,0.428571428571429,0.000161264312207708,1.84720967199926e-07,0.000944514847496287
B.1.617.2,2020-04-05,1632,0,2592.14285714286,0.428571428571429,0.000165334802976026,1.8942405624291e-07,0.000968551024567973
B.1.617.2,2020-04-06,2761,0,2520.57142857143,0.285714285714286,0.000113352981183405,1.94758357304487e-07,0.000995812450515092
B.1.617.2,2020-04-07,2391,0,2432,0,0,2.01884882897068e-07,0.00103223204068564
B.1.617.2,2020-04-08,2416,0,2341.57142857143,0,0,2.09642226201543e-07,0.00107187386986644
B.1.617.2,2020-04-09,2032,0,2263,0,0,2.16959903820605e-07,0.00110926746342882
B.1.617.2,2020-04-10,2060,0,2173,0,0,2.25944783097192e-07,0.00115517860268004
B.1.617.2,2020-04-11,1731,0,2146.14285714286,0,0,2.28787186527407e-07,0.00116970234067576
B.1.617.2,2020-04-12,1321,0,2101.71428571429,0,0,2.335756916494e-07,0.00119416953479814
B.1.617.2,2020-04-13,2271,0,2031.71428571429,0,0,2.41621107417277e-07,0.00123527678717796
B.1.617.2,2020-04-14,2072,0,1986.14285714286,0,0,2.47216862933631e-07,0.00126386674648986
B.1.617.2,2020-04-15,4089,0,2225.14285714286,0,0,2.2066486970596e-07,0.00112819943749944
B.1.617.2,2020-04-16,1867,0,2201.57142857143,0,0,2.22969463360268e-07,0.00113997548027378
B.1.617.2,2020-04-17,1846,0,2171,0,0,2.2615290722418e-07,0.00115624205504216
B.1.617.2,2020-04-18,1302,0,2109.71428571429,0,0,2.32690201642164e-07,0.00118964510825644
B.1.617.2,2020-04-19,970,0,2059.57142857143,0,0,2.38337335981948e-07,0.0012184988876603
B.1.617.2,2020-04-20,2049,0,2027.85714285714,0,0,2.42097618843678e-07,0.00123771142188885
B.1.617.2,2020-04-21,1763,0,1983.71428571429,0,0,2.47466042047215e-07,0.00126513983896505
B.1.617.2,2020-04-22,1694,0,1641.57142857143,0,0,2.99001053120981e-07,0.00152840486739066
B.1.617.2,2020-04-23,1582,0,1600.85714285714,0,0,3.06656972562235e-07,0.00156750897762134
B.1.617.2,2020-04-24,1469,0,1547,0,0,3.17359492169182e-07,0.00162217162923537
B.1.617.2,2020-04-25,983,0,1501.42857142857,0,0,3.27083744527833e-07,0.00167183522899535
B.1.617.2,2020-04-26,880,0,1488.57142857143,0,0,3.29719302141798e-07,0.00168529509574871
B.1.617.2,2020-04-27,1653,0,1432,0,0,3.42841310477175e-07,0.00175230686019649
B.1.617.2,2020-04-28,1424,0,1383.57142857143,0,0,3.54729610607715e-07,0.00181301441284341
B.1.617.2,2020-04-29,1548,0,1362.71428571429,0,0,3.60193993688741e-07,0.00184091702279369
B.1.617.2,2020-04-30,1559,0,1359.42857142857,0,0,3.6125397210817e-07,0.0018463294674255
B.1.617.2,2020-05-01,1411,0,1351.14285714286,0,0,3.63392755568865e-07,0.0018572503995511
B.1.617.2,2020-05-02,941,0,1345.14285714286,0,0,3.65013536881822e-07,0.00186552625955272
B.1.617.2,2020-05-03,770,0,1329.42857142857,0,0,3.69407153813137e-07,0.00188796013082727
B.1.617.2,2020-05-04,1476,0,1304.14285714286,0,0,3.76487987065254e-07,0.00192411390631125
B.1.617.2,2020-05-05,1233,0,1276.85714285714,0,0,3.84446627355764e-07,0.00196474808263461
B.1.617.2,2020-05-06,1103,0,1213.28571428571,0,0,4.04726518683732e-07,0.00206828300035372
B.1.617.2,2020-05-07,1158,0,1156,0,0,4.2467843705038e-07,0.00217013303743817
B.1.617.2,2020-05-08,1029,0,1101.42857142857,0,0,4.45888251039995e-07,0.00227839294995239
B.1.617.2,2020-05-09,777,0,1078,0,0,4.55399428310545e-07,0.00232693643641872
