Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
P.1,2020-04-07,2391,1,2432,0.142857142857143,5.87406015037594e-05,2.01884882897068e-07,0.00103223204068564
P.1,2020-04-08,2416,0,2341.57142857143,0.142857142857143,6.10090903544628e-05,2.09642226201543e-07,0.00107187386986644
P.1,2020-04-09,2032,0,2263,0.142857142857143,6.31273278202134e-05,2.16959903820605e-07,0.00110926746342882
P.1,2020-04-10,2060,0,2173,0.142857142857143,6.57418973111564e-05,2.25944783097192e-07,0.00115517860268004
P.1,2020-04-11,1731,0,2146.14285714286,0.142857142857143,6.65646009452173e-05,2.28787186527407e-07,0.00116970234067576
P.1,2020-04-12,1321,0,2101.71428571429,0.142857142857143,6.79717237629146e-05,2.335756916494e-07,0.00119416953479814
P.1,2020-04-13,2271,0,2031.71428571429,0.142857142857143,7.03135986499789e-05,2.41621107417277e-07,0.00123527678717796
P.1,2020-04-14,2072,0,1986.14285714286,0,0,2.47216862933631e-07,0.00126386674648986
P.1,2020-04-15,4089,0,2225.14285714286,0,0,2.2066486970596e-07,0.00112819943749944
P.1,2020-04-16,1867,0,2201.57142857143,0,0,2.22969463360268e-07,0.00113997548027378
P.1,2020-04-17,1846,0,2171,0,0,2.2615290722418e-07,0.00115624205504216
P.1,2020-04-18,1302,0,2109.71428571429,0,0,2.32690201642164e-07,0.00118964510825644
P.1,2020-04-19,970,0,2059.57142857143,0,0,2.38337335981948e-07,0.0012184988876603
P.1,2020-04-20,2049,0,2027.85714285714,0,0,2.42097618843678e-07,0.00123771142188885
P.1,2020-04-21,1763,0,1983.71428571429,0,0,2.47466042047215e-07,0.00126513983896505
P.1,2020-04-22,1694,0,1641.57142857143,0,0,2.99001053120981e-07,0.00152840486739066
P.1,2020-04-23,1582,1,1600.85714285714,0.142857142857143,8.92379082634303e-05,3.06656972562235e-07,0.00156750897762134
P.1,2020-04-24,1469,0,1547,0.142857142857143,9.23446301597562e-05,3.17359492169182e-07,0.00162217162923537
P.1,2020-04-25,983,0,1501.42857142857,0.142857142857143,9.51474785918173e-05,3.27083744527833e-07,0.00167183522899535
P.1,2020-04-26,880,0,1488.57142857143,0.142857142857143,9.59692898272553e-05,3.29719302141798e-07,0.00168529509574871
P.1,2020-04-27,1653,0,1432,0.142857142857143,9.97605746209098e-05,3.42841310477175e-07,0.00175230686019649
P.1,2020-04-28,1424,0,1383.57142857143,0.142857142857143,0.000103252452245741,3.54729610607715e-07,0.00181301441284341
