Lineage,date,total_count,lineage_count,total_count_rolling,lineage_count_rolling,proportion,proportion_ci_lower,proportion_ci_upper
B.1.351,2020-02-15,105,2,38,0.285714285714286,0.0075187969924812,1.28371481450411e-05,0.0635582549702204
B.1.351,2020-02-16,37,0,37.2857142857143,0.285714285714286,0.00766283524904215,1.3181751978966e-05,0.0652074564454339
B.1.351,2020-02-17,55,0,40.8571428571429,0.285714285714286,0.00699300699300699,1.19035785691706e-05,0.0590757099093132
B.1.351,2020-02-18,26,1,41,0.428571428571429,0.0104529616724739,1.19035785691706e-05,0.0590757099093132
B.1.351,2020-02-19,35,0,43.8571428571429,0.428571428571429,0.00977198697068404,1.10965874712552e-05,0.0551835969121707
B.1.351,2020-02-20,48,0,47.1428571428571,0.428571428571429,0.00909090909090909,1.03920662915274e-05,0.051772500175186
B.1.351,2020-02-21,60,0,52.2857142857143,0.428571428571429,0.00819672131147541,9.39763883547412e-06,0.046936736718992
B.1.351,2020-02-22,56,0,45.2857142857143,0.142857142857143,0.00315457413249211,1.08513679206047e-05,0.0539977096907176
B.1.351,2020-02-23,48,0,46.8571428571429,0.142857142857143,0.00304878048780488,1.03920662915274e-05,0.051772500175186
B.1.351,2020-02-24,76,1,49.8571428571429,0.285714285714286,0.00573065902578797,9.77166330180406e-06,0.0487584594440714
B.1.351,2020-02-25,77,0,57.1428571428572,0.142857142857143,0.0025,8.57690427525629e-06,0.0429270058037562
B.1.351,2020-02-26,92,0,65.2857142857143,0.142857142857143,0.00218818380743982,7.52535028085923e-06,0.0377648855539825
B.1.351,2020-02-27,127,0,76.5714285714286,0.142857142857143,0.00186567164179104,6.35638091717777e-06,0.0319936262649119
B.1.351,2020-02-28,200,0,96.5714285714286,0.142857142857143,0.0014792899408284,5.04916910989899e-06,0.0254987923361407
B.1.351,2020-02-29,154,0,110.571428571429,0.142857142857143,0.00129198966408269,4.4137728963029e-06,0.022326110902588
B.1.351,2020-03-01,228,0,136.285714285714,0.142857142857143,0.0010482180293501,3.60391080304845e-06,0.0182672895031009
B.1.351,2020-03-02,358,0,176.571428571429,0,0,2.77028710782409e-06,0.0140717685353221
B.1.351,2020-03-03,432,0,227.285714285714,0,0,2.16076449219375e-06,0.0109927701147918
B.1.351,2020-03-04,491,0,284.285714285714,0,0,1.72747210021362e-06,0.00879814953690492
B.1.351,2020-03-05,501,0,337.714285714286,0,0,1.45168977978125e-06,0.00739877932727573
B.1.351,2020-03-06,491,0,379.285714285714,0,0,1.29475051808065e-06,0.00660155864478391
B.1.351,2020-03-07,456,0,422.428571428571,0,0,1.16289919948769e-06,0.00593128480405314
B.1.351,2020-03-08,482,0,458.714285714286,0,0,1.06920897833332e-06,0.00545473025474581
B.1.351,2020-03-09,1055,0,558.285714285714,0,0,8.7959568898804e-07,0.00448956458098648
B.1.351,2020-03-10,997,0,639,0,0,7.68141310023067e-07,0.00392180473961217
B.1.351,2020-03-11,1135,0,731,0,0,6.71499986348652e-07,0.00342924199036562
B.1.351,2020-03-12,1348,0,852,0,0,5.76162388967271e-07,0.00294308542990447
B.1.351,2020-03-13,1496,0,995.571428571429,0,0,4.92882732356894e-07,0.00251822207076365
B.1.351,2020-03-14,1370,0,1126.14285714286,0,0,4.35990623255582e-07,0.0022278745758925
B.1.351,2020-03-15,3540,2,1563,0.285714285714286,0.00018279864729001,3.14111290700626e-07,0.00160558189833371
B.1.351,2020-03-16,2316,0,1743.14285714286,0.285714285714286,0.000163907556138338,2.8167760469228e-07,0.0014399163036774
B.1.351,2020-03-17,2279,0,1926.28571428571,0.285714285714286,0.000148323939483833,2.54917322188216e-07,0.00130320876741426
B.1.351,2020-03-18,2372,0,2103,0.285714285714286,0.000135860335575029,2.33464637013596e-07,0.00119360210034076
B.1.351,2020-03-19,2240,0,2230.42857142857,0.285714285714286,0.000128098379555499,2.20170160944597e-07,0.00112567155011113
B.1.351,2020-03-20,2347,0,2352,0.285714285714286,0.000121477162293489,2.08750985041639e-07,0.00106731950014596
