Admin2,Province_State,Country_Region,Lat,Long_,Confirmed,Deaths,Date,Time
Bear River,Utah,US,41.52106798,-113.0832816,22913,113,2021-07-23,04:21:29
Central Utah,Utah,US,39.37231946,-111.5758676,9523,71,2021-07-23,04:21:29
Davis,Utah,US,40.99001837,-112.1139997,41040,188,2021-07-23,04:21:29
Salt Lake,Utah,US,40.66616532,-111.9216011,157373,931,2021-07-23,04:21:29
San Juan,Utah,US,37.62762978,-109.80337140000002,1967,37,2021-07-23,04:21:29
Southeast Utah,Utah,US,38.99617072,-110.7013958,3921,31,2021-07-23,04:21:29
Southwest Utah,Utah,US,37.85447192,-111.4418764,30832,285,2021-07-23,04:21:29
Summit,Utah,US,40.86688146,-110.9535882,5743,15,2021-07-23,04:21:29
Tooele,Utah,US,40.44862644,-113.1295715,7949,48,2021-07-23,04:21:29
TriCounty,Utah,US,40.12491499,-109.5174415,4878,39,2021-07-23,04:21:29
Unassigned,Utah,US,,,1008,0,2021-07-23,04:21:29
Utah,Utah,US,40.1166722,-111.6657662,101403,414,2021-07-23,04:21:29
Wasatch,Utah,US,40.33110236,-111.1691419,4825,22,2021-07-23,04:21:29
Weber-Morgan,Utah,US,41.27116049,-111.9145117,33043,231,2021-07-23,04:21:29
Bear River,Utah,US,41.52106798,-113.0832816,22913,113,2021-07-24,00:21:36
Central Utah,Utah,US,39.37231946,-111.5758676,9523,71,2021-07-24,00:21:36
Davis,Utah,US,40.99001837,-112.1139997,41040,188,2021-07-24,00:21:36
Salt Lake,Utah,US,40.66616532,-111.9216011,157373,931,2021-07-24,00:21:36
San Juan,Utah,US,37.62762978,-109.80337140000002,1967,37,2021-07-24,00:21:36
Southeast Utah,Utah,US,38.99617072,-110.7013958,3921,31,2021-07-24,00:21:36
Southwest Utah,Utah,US,37.85447192,-111.4418764,30832,285,2021-07-24,00:21:36
Summit,Utah,US,40.86688146,-110.9535882,5743,15,2021-07-24,00:21:36
Tooele,Utah,US,40.44862644,-113.1295715,7949,48,2021-07-24,00:21:36
TriCounty,Utah,US,40.12491499,-109.5174415,4878,39,2021-07-24,00:21:36
Unassigned,Utah,US,,,1008,0,2021-07-24,00:21:36
Utah,Utah,US,40.1166722,-111.6657662,101403,414,2021-07-24,00:21:36
Wasatch,Utah,US,40.33110236,-111.1691419,4825,22,2021-07-24,00:21:36
Weber-Morgan,Utah,US,41.27116049,-111.9145117,33043,231,2021-07-24,00:21:36
Bear River,Utah,US,41.52106798,-113.0832816,22913,113,2021-07-25,04:22:12
Central Utah,Utah,US,39.37231946,-111.5758676,9523,71,2021-07-25,04:22:12
Davis,Utah,US,40.99001837,-112.1139997,41040,188,2021-07-25,04:22:12
Salt Lake,Utah,US,40.66616532,-111.9216011,157373,931,2021-07-25,04:22:12
San Juan,Utah,US,37.62762978,-109.80337140000002,1967,37,2021-07-25,04:22:12
