"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0204863265584091.","X.0.136434008807906.","X.5.60710757903657e.06.","X.8.19453062336365e.05.","X.0.000200557992947622.","X.5.60710757903657e.05.","X.Low.Risk."
"1","19094","191","0.00272157309774865","0.134733337148793","0.898153374622574","3.68765143776247e-05","0.000538933348595173","0.00132028546069518","0.000368765143776247","Medium Risk"
"15","19093","183","0.00260758050726703","0.129089524069442","0.860533207237508","3.53318027378063e-05","0.000516358096277769","0.00126498381463914","0.000353318027378063","Medium Risk"
"29","19092","183","0.00260758050726703","0.12910247479213","0.860561883837746","3.5335347350606e-05","0.00051640989916852","0.00126502596924149","0.00035335347350606","Medium Risk"
"43","19091","183","0.00260758050726703","0.129101249538757","0.860559170776705","3.53350119987577e-05","0.000516404998155027","0.00126502198104176","0.000353350119987577","Medium Risk"
"57","19090","163","0.00232259903106298","0.114990476891223","0.766506006712338","3.14728935251277e-05","0.000459961907564891","0.00112676382986714","0.000314728935251277","Medium Risk"
"71","19089","165","0.00235109717868339","0.116399428267789","0.775906615794932","3.18585235168939e-05","0.000465597713071157","0.00114058272521855","0.000318585235168939","Medium Risk"
"85","19088","166","0.00236534625249359","0.117094397597235","0.78058587054166","3.20487366223631e-05","0.000468377590388939","0.00114746122969624","0.000320487366223631","Medium Risk"
"99","19087","166","0.00236534625249359","0.11709415840898","0.780585340910524","3.20486711565378e-05","0.00046837663363592","0.00114746045113847","0.000320486711565378","Medium Risk"
"113","19086","170","0.0024223425477344","0.119915346297926","0.799393833305013","3.28208302817424e-05","0.000479661385191704","0.00117510893495837","0.000328208302817424","Medium Risk"
"127","19085","170","0.0024223425477344","0.119914807267229","0.799392639737042","3.28206827490406e-05","0.000479659229068917","0.00117510718041345","0.000328206827490406","Medium Risk"
"141","19084","170","0.0024223425477344","0.119914222516489","0.799391344931831","3.2820522702763e-05","0.000479656890065955","0.00117510527704979","0.000328205227027629","Medium Risk"
"155","19083","152","0.00216585921915076","0.107216854021588","0.714748649668491","2.93452529457086e-05","0.000428867416086351","0.00105068051501268","0.000293452529457086","Medium Risk"
"169","19082","150","0.00213736107153035","0.105805648689728","0.705343049684891","2.89590060463786e-05","0.000423222594758913","0.00103685428303679","0.000289590060463786","Medium Risk"
"183","19081","143","0.00203761755485893","0.10086771611195","0.672426297499121","2.76074938998407e-05","0.0004034708644478","0.000988466657323708","0.000276074938998407","Medium Risk"
"197","19080","147","0.00209461385009974","0.103689046433523","0.69123510528014","2.83796920088552e-05","0.000414756185734091","0.00101611560476181","0.000283796920088552","Medium Risk"
"211","19079","131","0.00186662866913651","0.0924127135112423","0.616019776962086","2.5293359688027e-05","0.000369650854044969","0.000905549072134266","0.00025293359688027","Low Risk"
"225","19078","131","0.00186662866913651","0.0924120082056159","0.616018215213913","2.52931666458771e-05","0.000369648032822464","0.000905546776364452","0.000252931666458771","Low Risk"
"239","19077","131","0.00186662866913651","0.0924111992636956","0.616016423985375","2.52929452384735e-05","0.000369644797054783","0.000905544143258501","0.000252929452384735","Low Risk"
"253","19076","122","0.00173838700484469","0.0860616127463768","0.573693078470425","2.35550634086833e-05","0.000344246450985507","0.000843328825351525","0.000235550634086833","Low Risk"
"267","19075","114","0.00162439441436307","0.0804210795702457","0.536080173728204","2.20112494783763e-05","0.000321684318280983","0.00078803785538046","0.000220112494783763","Low Risk"
"281","19074","114","0.00162439441436307","0.0804200008823805","0.536077785205074","2.20109542415075e-05","0.000321680003529522","0.000788034344251459","0.000220109542415075","Low Risk"
"295","19073","112","0.00159589626674266","0.0790088240394358","0.526672248304071","2.16247151395936e-05","0.000316035296157743","0.000774208205006984","0.000216247151395936","Low Risk"
"309","19072","86","0.0012254203476774","0.0606673394321838","0.404408714654023","1.66046508025887e-05","0.000242669357728735","0.000594480810541413","0.000166046508025887","Low Risk"
"323","19071","86","0.0012254203476774","0.0606670991564332","0.404408182614861","1.66045850391158e-05","0.000242668396625733","0.000594480028443845","0.000166045850391158","Low Risk"
"337","19070","86","0.0012254203476774","0.0606668630498788","0.40440765980749","1.66045204167518e-05","0.000242667452199515","0.000594479259917011","0.000166045204167518","Low Risk"
"351","19069","94","0.00133941293815902","0.0663099975466892","0.44202632461693","1.81490463285288e-05","0.000265239990186757","0.000649778697186887","0.000181490463285288","Low Risk"
"365","19068","80","0.00113992590481619","0.0564337656958555","0.376192008277276","1.54459216709557e-05","0.000225735062783422","0.000553002252167596","0.000154459216709557","Low Risk"
"379","19067","86","0.0012254203476774","0.0606659164705435","0.404405563810391","1.66042613379878e-05","0.000242663665882174","0.000594476178801274","0.000166042613379878","Low Risk"
"393","19066","86","0.0012254203476774","0.0606657822450287","0.404405266596751","1.66042246004643e-05","0.000242663128980115","0.000594475741897223","0.000166042246004643","Low Risk"
"407","19065","93","0.00132516386434882","0.0655995971816019","0.437312901148424","1.79546097486044e-05","0.000262398388726408","0.000642849964688183","0.000179546097486044","Low Risk"
"421","19064","93","0.00132516386434882","0.0655975741007571","0.43730842146941","1.79540560313772e-05","0.000262390296403029","0.000642843379560033","0.000179540560313772","Low Risk"
"435","19063","93","0.00132516386434882","0.0655975244308098","0.437308311485956","1.79540424367126e-05","0.000262390097723239","0.000642843217884355","0.000179540424367126","Low Risk"
"449","19062","106","0.00151040182388145","0.0747670407907627","0.498437363721418","2.04637390644317e-05","0.000299068163163051","0.000732702924670484","0.000204637390644317","Low Risk"
"463","19061","121","0.00172413793103448","0.0853472566603952","0.568970895905653","2.33595441479502e-05","0.000341389026641581","0.00083638721698131","0.000233595441479502","Low Risk"
"477","19060","128","0.0018238814477059","0.0902846876514588","0.601886537435127","2.47109190102043e-05","0.000361138750605835","0.000884773210029636","0.000247109190102043","Low Risk"
"491","19059","178","0.00253633513821602","0.125552115994537","0.836998404628297","3.43636141477047e-05","0.000502208463978147","0.0012303876548036","0.000343636141477047","Medium Risk"
"505","19058","164","0.00233684810487318","0.115677178901766","0.771166955252925","3.16608438654133e-05","0.000462708715607063","0.0011336154242218","0.000316608438654133","Medium Risk"
"519","19057","164","0.00233684810487318","0.115677116734019","0.77116681759577","3.16608268501009e-05","0.000462708466936074","0.00113361522186578","0.000316608268501009","Medium Risk"
"533","19056","164","0.00233684810487318","0.115677041141295","0.771166650211883","3.16608061603725e-05","0.000462708164565181","0.00113361497581147","0.000316608061603725","Medium Risk"
"547","19055","168","0.00239384440011399","0.118498308127463","0.789975317750219","3.24329869344865e-05","0.000473993232509851","0.00116126371709282","0.000324329869344866","Medium Risk"
"561","19054","197","0.00280706754060986","0.138953256368739","0.92633984599876","3.80315062681239e-05","0.000555813025474957","0.00136171957361818","0.000380315062681239","Medium Risk"
"575","19053","200","0.00284981476204047","0.141069352756678","0.940446670266634","3.86106818495028e-05","0.000564277411026712","0.00138245660529195","0.000386106818495027","Medium Risk"
"589","19052","220","0.00313479623824451","0.155176276129858","1.03449131093779","4.2471746776742e-05","0.00062070510451943","0.00152070222707855","0.00042471746776742","Medium Risk"
