"","X.18426.","X.29.","X.0.000413223140495868.","X.0.227272727272727.","X.0.681818181818182.","X.0.000435431818181818.","X.0.00636363636363636.","X.0.00100227272727273.","X.0.000622045454545454.","X.Medium.Risk."
"1","19094","191","0.00272157309774865","1.49686520376176","4.49059561128527","0.00286784404388715","0.0419122257053292","0.00660117554858934","0.00409692006269593","High Risk"
"15","19093","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00274772492163009","0.0401567398119122","0.00632468652037618","0.00392532131661442","High Risk"
"29","19092","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00274772492163009","0.0401567398119122","0.00632468652037618","0.00392532131661442","High Risk"
"43","19091","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00274772492163009","0.0401567398119122","0.00632468652037618","0.00392532131661442","High Risk"
"57","19090","163","0.00232259903106298","1.27742946708464","3.83228840125392","0.00244742711598746","0.0357680250783699","0.00563346394984326","0.00349632445141066","High Risk"
"71","19089","165","0.00235109717868339","1.29310344827586","3.87931034482759","0.00247745689655172","0.0362068965517241","0.00570258620689655","0.00353922413793103","High Risk"
"85","19088","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00249247178683386","0.0364263322884013","0.0057371473354232","0.00356067398119122","High Risk"
"99","19087","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00249247178683386","0.0364263322884013","0.0057371473354232","0.00356067398119122","High Risk"
"113","19086","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00255253134796238","0.0373040752351097","0.00587539184952978","0.00364647335423197","High Risk"
"127","19085","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00255253134796238","0.0373040752351097","0.00587539184952978","0.00364647335423197","High Risk"
"141","19084","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00255253134796238","0.0373040752351097","0.00587539184952978","0.00364647335423197","High Risk"
"155","19083","152","0.00216585921915076","1.19122257053292","3.57366771159875","0.00228226332288401","0.0333542319749216","0.00525329153605015","0.00326037617554859","High Risk"
"169","19082","150","0.00213736107153035","1.17554858934169","3.52664576802508","0.00225223354231975","0.0329153605015674","0.00518416927899686","0.00321747648902821","High Risk"
"183","19081","143","0.00203761755485893","1.12068965517241","3.36206896551724","0.00214712931034483","0.0313793103448276","0.00494224137931035","0.0030673275862069","High Risk"
"197","19080","147","0.00209461385009974","1.15203761755486","3.45611285266458","0.00220718887147335","0.032257053291536","0.00508048589341693","0.00315312695924765","High Risk"
"211","19079","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00196695062695925","0.0287460815047022","0.00452750783699059","0.00280992946708464","High Risk"
"225","19078","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00196695062695925","0.0287460815047022","0.00452750783699059","0.00280992946708464","High Risk"
"239","19077","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00196695062695925","0.0287460815047022","0.00452750783699059","0.00280992946708464","High Risk"
"253","19076","122","0.00173838700484469","0.956112852664577","2.86833855799373","0.00183181661442006","0.0267711598746082","0.00421645768025078","0.00261688087774295","Medium Risk"
