"","X.18426.","X.29.","X.0.000413223140495868.","X.0.227272727272727.","X.0.681818181818182.","X.8.03336775229545e.05.","X.0.00130165289147727.","X.7.875e.06.","X.4.025e.06.","X.Medium.Risk."
"1","19094","191","0.00272157309774865","2.96511310858835","8.89533932576504","0.00104807313725145","0.0169820114259452","0.000102741169212586","5.25121531530996e-05","High Risk"
"15","19093","183","0.00260758050726703","2.841665833175","8.524997499525","0.00100443845334922","0.0162749952128034","9.84637211195138e-05","5.03259019055293e-05","High Risk"
"29","19092","183","0.00260758050726703","2.84417955394967","8.53253866184901","0.00100532697365924","0.0162893919772282","9.8550821544356e-05","5.03704199004486e-05","High Risk"
"43","19091","183","0.00260758050726703","2.84582368905182","8.53747106715547","0.00100590812310329","0.0162988083873508","9.86077908256457e-05","5.03995375331078e-05","High Risk"
"57","19090","163","0.00232259903106298","2.53526852986179","7.60580558958538","0.000896136755852854","0.0145201742952901","8.78470545597111e-05","4.48996056638523e-05","High Risk"
"71","19089","165","0.00235109717868339","2.56752596808723","7.70257790426168","0.000907538733869376","0.0147049214413364","8.89647747942224e-05","4.54708848948248e-05","High Risk"
"85","19088","166","0.00236534625249359","2.58336372358749","7.75009117076248","0.000913136876498777","0.0147956285863987","8.95135530223066e-05","4.57513715447345e-05","High Risk"
"99","19087","166","0.00236534625249359","2.58406691657584","7.75220074972753","0.000913385432845332","0.0147996559644195","8.95379186593529e-05","4.57638250925582e-05","High Risk"
"113","19086","170","0.0024223425477344","2.64709317220442","7.94127951661326","0.000935663208783973","0.0151606245190824","9.17217784168832e-05","4.68800200797403e-05","High Risk"
"127","19085","170","0.0024223425477344","2.64765423830709","7.94296271492128","0.000935861527798762","0.0151638378976677","9.17412193573408e-05","4.68899565604186e-05","High Risk"
"141","19084","170","0.0024223425477344","2.64772908462107","7.9431872538632","0.000935887983589224","0.0151642665629201","9.174381278212e-05","4.68912820886391e-05","High Risk"
"155","19083","152","0.00216585921915076","2.36832870444567","7.10498611333701","0.000837128839409698","0.0135640643868854","8.20625896090424e-05","4.19431013557328e-05","High Risk"
"169","19082","150","0.00213736107153035","2.33681260625271","7.01043781875814","0.000825988901506034","0.0133835630973853","8.09705568066565e-05","4.13849512567356e-05","High Risk"
"183","19081","143","0.00203761755485893","2.22804128829406","6.68412386488219","0.000787541701591232","0.0127606000950504","7.72016306393894e-05","3.94586112156879e-05","High Risk"
"197","19080","147","0.00209461385009974","2.2906374469554","6.8719123408662","0.000809667451937163","0.0131191053670847","7.93705875370046e-05","4.05671891855801e-05","High Risk"
"211","19079","131","0.00186662866913651","2.04166235625553","6.12498706876658","0.000721662679488022","0.0116931571215373","7.07436006442539e-05","3.61578403292853e-05","High Risk"
"225","19078","131","0.00186662866913651","2.04144172286699","6.12432516860098","0.000721584692605488","0.0116918934939495","7.07359556973414e-05","3.61539329119745e-05","High Risk"
"239","19077","131","0.00186662866913651","2.0417893164359","6.12536794930769","0.000721707555872051","0.0116938842571152","7.07479998145039e-05","3.61600887940797e-05","High Risk"
"253","19076","122","0.00173838700484469","1.901724365978","5.70517309793401","0.000672199052597697","0.0108916940869794","6.58947492811378e-05","3.36795385214704e-05","High Risk"
"267","19075","114","0.00162439441436307","1.77687660749934","5.33062982249801","0.000628069342493706","0.0101766569253793","6.15687744498521e-05","3.14684847188133e-05","High Risk"
