"","X.18426.","X.156410.","X.0.00279417334200353.","X.1.53679533810194.","X.4.82249813566236.","X.0.000124072645017515.","X.0.0135193282866838.","X.3.00779208721262e.06.","X.6.21647622260045e.06.","X.High.Risk."
"1","19094","614512","0.0109778981442444","11.9193972505074","37.4033351049754","0.000962308452673644","0.104856021106902","2.33284601049731e-05","4.82150405837535e-05","High Risk"
"20","19093","722427","0.0129057366213387","14.005845278143","43.9506556713276","0.00113075711923457","0.12321069406781","2.7412023942207e-05","5.66549116790859e-05","High Risk"
"39","19092","722427","0.0129057366213387","13.9945968480301","43.9153578461041","0.00112984898108384","0.123111740605604","2.73900086886151e-05","5.66094107612963e-05","High Risk"
"58","19091","722427","0.0129057366213387","13.9820097797552","43.8758593443947","0.0011288327684398","0.123001011021804","2.7365373473099e-05","5.65584949309949e-05","High Risk"
"77","19090","751982","0.013433719442916","14.5310358520338","45.5987154361264","0.00117315820025385","0.127830843287075","2.8439918817512e-05","5.87793550802214e-05","High Risk"
"96","19089","792554","0.0141585145380619","15.2893114681457","47.9782012754928","0.00123437732228703","0.134501462810599","2.99240041355248e-05","6.18466485713372e-05","High Risk"
"115","19088","835895","0.0149327762017393","16.0960196637024","50.509669632171","0.0012995066320256","0.141598148138106","3.1502880949585e-05","6.51098562294558e-05","High Risk"
"134","19087","869180","0.0155273932958419","16.7126557281771","52.4446873912593","0.0013492905333921","0.147022751650594","3.27097515259284e-05","6.76042049158197e-05","High Risk"
"153","19086","935900","0.0167193071464811","17.9641602673555","56.3719366204344","0.00145033032351735","0.158032350845711","3.51591768701649e-05","7.26666540379571e-05","High Risk"
"172","19085","935900","0.0167193071464811","17.9368608569782","56.2862704602208","0.00144812631497506","0.157792195451058","3.51057468860397e-05","7.25562254523842e-05","High Risk"
"191","19084","935900","0.0167193071464811","17.9011458652057","56.1741960174061","0.00144524287735254","0.157478007421879","3.50358460560562e-05","7.24117550784577e-05","High Risk"
"210","19083","944153","0.0168667421735993","18.0243154679721","56.5607049851164","0.00145518693302613","0.15856154161375","3.52769116992171e-05","7.29099872684971e-05","High Risk"
"229","19082","956926","0.0170949243620617","18.235408367937","57.2231192255119","0.0014722294459709","0.160418545043457","3.56900594609518e-05","7.37638771527626e-05","High Risk"
"248","19081","958854","0.0171293669565466","18.2267986973103","57.1961018865619","0.00147153434716307","0.160342804988319","3.56732087466487e-05","7.37290502559021e-05","High Risk"
"267","19080","958205","0.0171177729504155","18.1933411705199","57.0911114193409","0.00146883316520234","0.160048476083797","3.56077261922429e-05","7.35937115321291e-05","High Risk"
"286","19079","938580","0.0167671837819684","17.7911451512119","55.8290113171379","0.00143636200740152","0.156510321141618","3.48205543584989e-05","7.19667922352884e-05","High Risk"
"305","19078","938580","0.0167671837819684","17.761976691054","55.7374800369186","0.00143400710176565","0.156253723546145","3.47634662990261e-05","7.18488031742041e-05","High Risk"
"324","19077","938580","0.0167671837819684","17.7391841467465","55.6659565232113","0.00143216695351116","0.156053215461989","3.47188570835269e-05","7.1756605269755e-05","High Risk"
