"","X.18426.","X.156410.","X.0.00279417334200353.","X.1.53679533810194.","X.4.82249813566236.","X.0.000124072645017515.","X.0.0135193282866838.","X.3.00779208721262e.06.","X.6.21647622260045e.06.","X.High.Risk."
"343","19076","930981","0.0166314320830624","17.5610020226413","55.1068170333903","0.0014177814807781","0.154485731119167","3.43701217837255e-05","7.10358424522672e-05","High Risk"
"362","19075","904331","0.0161553453906233","17.0157455925426","53.395790163113","0.00137376038973372","0.149689060738819","3.33029543247336e-05","6.88302308468109e-05","High Risk"
"381","19074","869838","0.015539148081719","16.3131079364012","51.1908974862698","0.00131703317933364","0.143507893406744","3.19277627621865e-05","6.59879979390111e-05","High Risk"
"400","19073","840007","0.0150062346812631","15.7238168342837","49.3416888305265","0.00126945696413292","0.138323846013818","3.07744113235994e-05","6.36042621001011e-05","High Risk"
"419","19072","746695","0.013339270274326","13.9478418662942","43.7686396679161","0.00112607423365463","0.122700432781164","2.72985005608793e-05","5.64202826288488e-05","High Risk"
"438","19071","746695","0.013339270274326","13.9197572472145","43.6805095052364","0.00112380683155682","0.122453369834179","2.72435337784159e-05","5.63066778030135e-05","High Risk"
"457","19070","746695","0.013339270274326","13.8890572615388","43.5841722636952","0.00112132827873306","0.122183299269506","2.71834482408667e-05","5.61824935826065e-05","High Risk"
"476","19069","710087","0.0126852897251024","13.1756137248351","41.3453704920139","0.00106372865926857","0.115907071623851","2.57871075758691e-05","5.329654991e-05","High Risk"
"495","19068","667404","0.0119227828473021","12.3529628777557","38.7638737383595","0.000997312225022287","0.108670137341684","2.41770280506148e-05","4.99688527836621e-05","High Risk"
"514","19067","623166","0.0111324968022695","11.4981519100816","36.0814578071377","0.000928299354459902","0.101150287555233","2.25040052343118e-05","4.65110650590279e-05","High Risk"
"533","19066","585581","0.0104610627183925","10.7782606881616","33.8224230550693","0.000870179183338858","0.0948173390366237","2.10950452594467e-05","4.35990399162058e-05","High Risk"
"552","19065","482381","0.00861745496380669","8.86076982868658","27.8052938605023","0.000715371215853866","0.0779489976425282","1.73421617807953e-05","3.58426158567067e-05","High Risk"
"571","19064","482381","0.00861745496380669","8.8396232606034","27.7389354569931","0.000713663954925834","0.0777629693608402","1.73007740445266e-05","3.57570760750458e-05","High Risk"
"590","19063","482381","0.00861745496380669","8.81994049004626","27.677170482853","0.000712074873189477","0.0775898182390506","1.72622512301554e-05","3.56774574868515e-05","High Risk"
"609","19062","449945","0.00803800475908048","8.20615273872551","25.7510907941336","0.000662520929409445","0.0721902715962951","1.60609553283012e-05","3.31946304849675e-05","High Risk"
"628","19061","425244","0.00759673581386707","7.73150946373738","24.2616495835936","0.000624200767246351","0.0680147915603154","1.51319908452873e-05","3.12746554824241e-05","High Risk"
"647","19060","403439","0.00720720221804592","7.31557464974464","22.9564368364529","0.000590620412564455","0.0643557751924146","1.43179296548956e-05","2.95921615177228e-05","High Risk"
"666","19059","388497","0.00694027211078796","7.02756708480352","22.0526626574521","0.000567368220498704","0.0618221464632331","1.37542456994529e-05","2.84271448528514e-05","High Risk"
"685","19058","323018","0.00577052800068599","5.82904655914434","18.2916784474901","0.000470606076549219","0.0512786524513841","1.14085198476996e-05","2.35790208604525e-05","High Risk"
"704","19057","346689","0.006193396597186","6.23471554332583","19.5646767911261","0.000503357622979032","0.0548473593812533","1.22024889146253e-05","2.52199886145096e-05","High Risk"
"723","19056","378553","0.00676262835583059","6.78034611308942","21.2768777200378","0.000547408920061046","0.0596473211022427","1.32703886339876e-05","2.74271136487699e-05","High Risk"
"742","19055","383393","0.00684909213036736","6.83895372188555","21.4607897069808","0.000552140585274495","0.0601628975643571","1.33850945402439e-05","2.76641867303389e-05","High Risk"
"761","19054","390638","0.00697851982592913","6.9465368525969","21.7983879768487","0.00056082627246763","0.0611093161447207","1.35956545811605e-05","2.80993702303396e-05","High Risk"
"780","19053","401122","0.00716581036564887","7.11273213913352","22.3199125023386","0.000574243991977054","0.0625713511878274","1.39209294277086e-05","2.87716452050537e-05","High Risk"
"799","19052","410781","0.00733836276198166","7.26482325873799","22.7971778366083","0.000586523016402198","0.0639093105923384","1.42185998166926e-05","2.93868675481001e-05","High Risk"
"818","19051","382230","0.00682831581429582","6.74301798361099","21.15974121503","0.000544395246318604","0.0593189421540283","1.31973305958142e-05","2.7276117986834e-05","High Risk"
"837","19050","414120","0.0073980120477623","7.28266383937704","22.8531619775916","0.000587963369566771","0.0640662558019603","1.42535171254239e-05","2.94590343113576e-05","High Risk"
"856","19049","451386","0.00806374738286302","7.91128240881847","24.8257811052096","0.000638714674365791","0.0695962704998709","1.54838396753192e-05","3.20018533147287e-05","High Risk"
"875","19048","474387","0.0084746468204912","8.287926751322","26.0076994742323","0.000669122926295429","0.0729096450185081","1.62210021620787e-05","3.35254137664685e-05","High Risk"
"894","19047","499965","0.00893158285873534","8.7087496615238","27.3282511765811","0.000703097919749789","0.0766116624130965","1.70446302588336e-05","3.52276805227081e-05","High Risk"
"913","19046","528871","0.00944797167418163","9.18226992227383","28.8141683433299","0.000741327415743186","0.0807772631907396","1.79713967957349e-05","3.71431128310256e-05","High Risk"
"932","19045","557409","0.00995778638445653","9.64800035496686","30.2756408554456","0.000778928002637694","0.0848743361428562","1.88829172015414e-05","3.90270345798731e-05","High Risk"
"951","19044","576081","0.0102913507642397","9.94351232146759","31.2029640143483","0.000802786059991874","0.087473981774721","1.9461288655749e-05","4.02224072282015e-05","High Risk"
"970","19043","601174","0.010739622560614","10.3503590011033","32.4796579926546","0.000835632687260633","0.0910530489985558","2.02575626900187e-05","4.18681388669526e-05","High Risk"
"989","19042","626223","0.0111871083226742","10.7539389889022","33.7461010189292","0.000868215579283316","0.0946033788373535","2.10474432055062e-05","4.35006564415878e-05","High Risk"
"1008","19041","660947","0.0118074323117269","11.3049605177288","35.4752188979292","0.000912702113597995","0.0994507653152678","2.21258940266384e-05","4.57295883931397e-05","High Risk"
"1027","19040","698156","0.0124721493751027","11.890070423596","37.3113068663425","0.0009599407613522","0.104598030344702","2.32710620925378e-05","4.80964109148193e-05","High Risk"
"1046","19039","735984","0.0131479245121228","12.4895514993017","39.1924918870663","0.00100833966057883","0.10987171986157","2.44443571899632e-05","5.05213661190861e-05","High Risk"
"1065","19038","803051","0.0143460373151926","13.5867876227918","42.6356433781735","0.00109692464302569","0.119524205780607","2.65918507749668e-05","5.49597855384727e-05","High Risk"
"1084","19037","1593576","0.0284683049527308","26.9000524589959","84.4129661357175","0.00217176651760258","0.2366422067439","5.2648366978847e-05","0.000108813146651386","High Risk"
"1103","19036","1621245","0.0289625954853047","27.2816781568243","85.6105161091389","0.00220257693754744","0.239999402698143","5.33952788972699e-05","0.000110356857136227","High Risk"
"1122","19035","1652532","0.0295215194757866","27.7384528799503","87.0438854043722","0.00223945448829886","0.24401769145911","5.42892713267069e-05","0.000112204552229385","High Risk"
"1141","19034","1684314","0.0300892863523006","28.1755963131171","88.4156512727328","0.00227474711358235","0.247863281977785","5.51448416988034e-05","0.000113972836978025","High Risk"
"1160","19033","1715471","0.030645887968673","28.6164760928659","89.7991418802169","0.00231034139152681","0.251741741476983","5.60077247906913e-05","0.000115756235586729","High Risk"
"1179","19032","1747079","0.0312105464367635","29.016930008942","91.055775223523","0.00234267190122016","0.255264570978671","5.67914870069113e-05","0.000117376107918336","High Risk"
"1198","19031","1772638","0.0316671430510994","29.3558188757182","92.1192160654528","0.00237003197775439","0.258245807145295","5.74547550600229e-05","0.000118746944053889","High Risk"
"1217","19030","1800639","0.0321673645698606","29.7538614065782","93.3682824280286","0.00240216780508859","0.261747423472037","5.82337977503614e-05","0.000120357062114066","High Risk"
"1236","19029","1820788","0.0325273146924105","29.9978131707134","94.1338085189564","0.00242186316717261","0.263893489316779","5.87112563732731e-05","0.000121343869077628","High Risk"
"1255","19028","1835828","0.0327959955124586","30.0640909259372","94.3417895969038","0.00242721407902962","0.264476540754248","5.88409741715889e-05","0.000121611968595645","High Risk"
"1274","19027","1850538","0.033058781075152","30.1471171492967","94.602327742378","0.00243391717272246","0.265206929988371","5.90034718129211e-05","0.000121947817183007","High Risk"
"1293","19026","1868522","0.0333800547365713","30.2127825140616","94.8083871253711","0.00243921864344561","0.265784594171305","5.91319910500939e-05","0.000122213439526197","High Risk"
"1312","19025","1884241","0.0336608654952373","30.1588664416574","94.6391972845347","0.00243486574781515","0.265310289581299","5.90264673463643e-05","0.000121995344133917","High Risk"
"1331","19024","1865474","0.0333256039959126","29.6614553638087","93.0783101995012","0.00239470743488981","0.260934519113922","5.80529420714289e-05","0.000119983271308317","High Risk"
"1350","19023","1117136","0.0199569824857263","17.6179563421233","55.2855409614956","0.00142237966824529","0.154986763444898","3.44815918976848e-05","7.12662278289376e-05","High Risk"
"1369","19022","1123086","0.0200632757622746","17.5526795988989","55.0807010815864","0.00141710957274904","0.154412518000982","3.43538332645854e-05","7.10021774950496e-05","High Risk"
"1388","19021","1128121","0.0201532230979756","17.3767576662053","54.5286541229558","0.0014029065757951","0.152864916767463","3.40095215764875e-05","7.02905573563691e-05","High Risk"
"1407","19020","1136866","0.0203094474178773","17.2118492070057","54.0111676904245","0.00138959274784979","0.151414202061415","3.36867652885178e-05","6.96234877146912e-05","High Risk"
"1426","19019","1146648","0.0204841971374059","17.0410149473619","53.475085963591","0.00137580050243616","0.149911357550193","3.33524111154917e-05","6.89324476739315e-05","High Risk"
"1445","19018","1172908","0.0209533167075166","17.0986599879334","53.6559773899206","0.00138045445503383","0.150418466212136","3.34652330980935e-05","6.91656270799193e-05","High Risk"
"1464","19017","1188389","0.0212298757351207","17.0400053446217","53.4719178076162","0.00137571899250489","0.149902475983113","3.33504351366102e-05","6.89283637394784e-05","High Risk"
"1483","19016","1228231","0.0219416298064212","17.3839245424261","54.5511439407973","0.00140348519109097","0.152927964429059","3.40235484758752e-05","7.03195480192847e-05","High Risk"
"1502","19015","1280546","0.0228762067413161","17.8346613538572","55.9655661341165","0.00143987527311066","0.156893137131988","3.49057235978485e-05","7.2142819213205e-05","High Risk"
"1521","19014","1333142","0.0238158035771707","18.1776253959347","57.0417949672677","0.00146756435752642","0.159910222986178","3.55769675210848e-05","7.3530139801654e-05","High Risk"
"1540","19013","1396645","0.0249502476008089","18.5556337807259","58.2279937314907","0.00149808273494274","0.163235597108814","3.63167996903308e-05","7.50592179278932e-05","High Risk"
"1559","19012","1453794","0.0259711811237432","18.7526256640943","58.84615866649","0.0015139868071445","0.164968552613715","3.67023491602898e-05","7.58560679238839e-05","High Risk"
"1578","19011","1507209","0.0269254089164874","18.8177485446839","59.0505157220107","0.00151924448059365","0.165541444514046","3.68298066558181e-05","7.61194958694898e-05","High Risk"
"1597","19010","1571348","0.0280712147088457","19.1291903445292","60.0278270541601","0.00154438862758433","0.168281226337893","3.74393557336796e-05","7.73793061353469e-05","High Risk"
"1616","19009","1633709","0.0291852575691532","19.3736067613369","60.7948112355646","0.00156412150324264","0.170431379774433","3.79177237676216e-05","7.83679926610198e-05","High Risk"
"1635","19008","1689109","0.0301749462281072","19.6230199880592","61.5774755182161","0.00158425779463718","0.172625490602011","3.84058714807114e-05","7.93768917350085e-05","High Risk"
"1654","19007","1778093","0.0317645934416155","20.2123812208341","63.4269042455304","0.00163183967181249","0.177810154940704","3.95593601779373e-05","8.17609112587742e-05","High Risk"
"1673","19006","1851576","0.0330773243391952","20.3901049774855","63.9846053680317","0.00164618813840624","0.179373606983369","3.99071983680414e-05","8.24798199384292e-05","High Risk"
"1692","19005","1902761","0.0339917144837541","20.3710154165849","63.9247018990588","0.00164464694924824","0.179205674380852","3.9869836574443e-05","8.24026009369811e-05","High Risk"
"1711","19004","1924030","0.0343716727524778","20.116247321537","63.1252339198598","0.00162407833439435","0.176964456289847","3.93712083958166e-05","8.13720409359996e-05","High Risk"
"1730","19003","1940847","0.0346720986401606","19.9864798624168","62.7180207313754","0.0016136016030489","0.175822880155877","3.91172295301588e-05","8.08471198199037e-05","High Risk"
"1749","19002","1921995","0.0343353186654567","19.6417969529776","61.6363980540067","0.00158577374646568","0.172790673269257","3.8442621466284e-05","7.94528462574186e-05","High Risk"
"1768","19001","1903357","0.0340023616758252","19.2583535090029","60.4331439525311","0.00155481657140857","0.169417486436927","3.76921518831937e-05","7.79017828249093e-05","High Risk"
"1787","19000","1892436","0.0338072643862144","19.0330191341189","59.7260396453817","0.00153662427786624","0.167435199457781","3.72511309268246e-05","7.69902848857425e-05","High Risk"
"1806","18999","1847291","0.0330007753156642","18.4842704490736","58.004054000991","0.00149232124081543","0.162607807393217","3.61771284804181e-05","7.47705467929783e-05","High Risk"
"1825","18998","1801184","0.0321771006767041","17.9306509784437","56.266783722519","0.00144762496255948","0.157737566585101","3.50935930077351e-05","7.25311059317184e-05","High Risk"
"1844","18997","1746839","0.0312062589768692","17.3162351636226","54.338733156491","0.00139802031228796","0.152332494810641","3.38910678697035e-05","7.00457383561355e-05","High Risk"
"1863","18996","1677434","0.0299663791686615","16.5959450674106","52.0784467279753","0.00133986793818764","0.145996037358627","3.24813272242382e-05","6.71320997307046e-05","High Risk"
"1882","18995","1617271","0.0288916022952202","15.9775938225925","50.1380466946157","0.00128994556232384","0.140556345248745","3.12710997234318e-05","6.46308129846277e-05","High Risk"
"1901","18994","1567154","0.0279962913471914","15.4641105278054","48.5267246334343","0.00124848966447135","0.136039186027968","3.0266118153873e-05","6.25537265869758e-05","High Risk"
"1920","18993","1485675","0.0265407165774637","14.6461108260679","45.9598232778682","0.00118244873885046","0.128843168294171","2.86651417784064e-05","5.92448437644745e-05","High Risk"
"1939","18992","1408558","0.0251630663913165","13.8758518604871","43.5427334199052","0.00112026214520416","0.12206713015606","2.71576028339949e-05","5.61290765402635e-05","High Risk"
"1958","18991","1339506","0.0239294927220368","13.1875438796648","41.3828075846432","0.00106469183623072","0.11601202228036","2.58104570905419e-05","5.33448084659653e-05","High Risk"
"1977","18990","1270071","0.0226890769813424","12.4967430858822","39.2150592465689","0.00100892027085711","0.109934984902447","2.4458432452085e-05","5.05504567376429e-05","High Risk"
"1996","18989","1206342","0.021550595599637","11.8671689517708","37.2394415356489","0.000958091818871896","0.104396564015272","2.32262396857842e-05","4.80037723887031e-05","High Risk"
"2015","18988","1153423","0.0206052285573412","11.3406787193382","35.5873034132841","0.000915585810365598","0.0997649815816734","2.21958011388653e-05","4.58740717511472e-05","High Risk"
"2034","18987","1090765","0.0194858799654145","10.7213983077797","33.6439876339157","0.000865588418543404","0.0943171155075135","2.09837550872732e-05","4.33690264415156e-05","High Risk"
"2053","18986","1023894","0.0182912685879251","10.0624646773453","31.5762391670187","0.000812389637682998","0.0885204164623561","1.96941003684696e-05","4.07035802729152e-05","High Risk"
"2072","18985","968542","0.01730243742095","9.51789535565468","29.8673684582908","0.0007684240201005","0.0837297906371336","1.8628277707436e-05","3.85007480831529e-05","High Risk"
"2091","18984","905060","0.0161683685500525","8.89341693904641","27.9077412228423","0.000718006969121785","0.0782361972400435","1.74060582006867e-05","3.59746763726757e-05","High Risk"
"2110","18983","853355","0.0152446889090558","8.38504277282098","26.3124517213339","0.000676963555013002","0.0737639834876519","1.64110761385959e-05","3.39182568624318e-05","High Risk"
"2129","18982","812319","0.0145116047247808","7.98175457313629","25.0469243326862","0.00064440422040373","0.0702162205354186","1.56217667062964e-05","3.22869195971252e-05","High Risk"
"2148","18981","777178","0.0138838312741616","7.63640006368683","23.9631941594677","0.00061652214242382","0.0671781055224589","1.494584419726e-05","3.0889929351819e-05","High Risk"
"2167","18980","743075","0.0132746010875857","7.30130984967711","22.9116735748618","0.000589468748819034","0.0642302864495252","1.42900108086413e-05","2.95344591104853e-05","High Risk"
"2186","18979","700544","0.0125148096010519","6.88334423074657","21.6000881164149","0.000555724437796368","0.0605534049059828","1.3471974958208e-05","2.78437503560227e-05","High Risk"
"2205","18978","661273","0.0118132561114168","6.49754438441258","20.3894395716436","0.000524577019402238","0.0571594885878977","1.27168934608341e-05","2.62831550627157e-05","High Risk"
"2224","18977","629782","0.0112506877800247","6.18818690752883","19.4186688915557","0.000499601149511641","0.0544380427426122","1.21114237876633e-05","2.50317760718693e-05","High Risk"
"2243","18976","602169","0.0107573976547594","5.91680613976385","18.5670699738901","0.000477691316218503","0.0520506814595943","1.15802815427152e-05","2.39340163063004e-05","High Risk"
"2262","18975","583178","0.0104181345262","5.73020074619893","17.9814980761494","0.000462625793711954","0.050409096849645","1.12150603500944e-05","2.31791806015422e-05","High Risk"
"2281","18974","573421","0.010243831417077","5.63433102377418","17.6806567434116","0.000454885784523076","0.0495657221867479","1.10274256108658e-05","2.27913788981242e-05","High Risk"
"2300","18973","564458","0.0100837126544379","5.54626647787298","17.4043082291384","0.000447775923586276","0.0487910103712329","1.08550670425136e-05","2.24351498401125e-05","High Risk"
"2319","18972","553499","0.0098879365170105","5.43859018923628","17.0664176276176","0.000439082715319959","0.0478437722721317","1.06443246743451e-05","2.19995895078729e-05","High Risk"
"2338","18971","546118","0.00975607926084191","5.36612482216292","16.8390196853236","0.00043323224874055","0.0472062878507579","1.05024965777363e-05","2.17064605399454e-05","High Risk"
"2357","18970","543204","0.00970402235195758","5.33749554600965","16.7491803765676","0.000430920873940532","0.046954433505986","1.04464638008652e-05","2.15906525269559e-05","High Risk"
"2376","18969","535180","0.00956067827615529","5.25860491021635","16.5016197973533","0.000424551665492726","0.0462604254116147","1.02920602676092e-05","2.12715327655695e-05","High Risk"
"2395","18968","533446","0.00952970137841836","5.2415682697808","16.4481584387056","0.000423176218165002","0.0461105525370426","1.02587164182207e-05","2.12026180131918e-05","High Risk"
"2414","18967","528520","0.00944170126408609","5.19316374815273","16.2962639674501","0.000419268295697838","0.0456847335602243","1.01639798364986e-05","2.1006817342597e-05","High Risk"
"2433","18966","524799","0.00937522777130689","5.15666437676951","16.1817281238772","0.000416321531456227","0.045363645272309","1.00925438308622e-05","2.08591740821588e-05","High Risk"
"2452","18965","521515","0.00931656102841871","5.12439858433993","16.080477345729","0.000413716563760744","0.0450798001632886","1.00293937205312e-05","2.07286560317269e-05","High Risk"
"2471","18964","514633","0.00919361811594721","5.05677887963944","15.8682852003162","0.000408257310072576","0.0444849434742883","9.89704947943724e-06","2.04551282066302e-05","High Risk"
"2490","18963","508290","0.00908030412382184","4.99439228633933","15.6725146754969","0.000403220549840119","0.043936122941976","9.77494740310742e-06","2.02027687907445e-05","High Risk"
"2509","18962","498142","0.00889901602795424","4.89468087189618","15.3596180273002","0.000395170382962545","0.0430589525651766","9.57979376362716e-06","1.9799427095439e-05","High Risk"
"2528","18961","494988","0.00884267165917552","4.86364069363498","15.2622132538187","0.000392664364806972","0.042785889295406","9.51904240640674e-06","1.96738667652363e-05","High Risk"
"2547","18960","491527","0.00878084291461524","4.8296373664206","15.1555100526623","0.000389919117836028","0.0424867589349388","9.4524916198455e-06","1.9536320229353e-05","High Risk"
"2566","18959","489575","0.0087459715741409","4.81045838033329","15.0953259654539","0.000388370708966214","0.0423180396509251","9.41495480465357e-06","1.94587394949316e-05","High Risk"
"2585","18958","486593","0.00869269988495316","4.78115994471402","15.0033868193303","0.000386005309806006","0.042060298649503","9.3576123592163e-06","1.93402246713432e-05","High Risk"
"2604","18957","476749","0.00851684257161845","4.68437968672153","14.6996882056202","0.000378191788840074","0.0412089139224473","9.16819553384532e-06","1.89487397691502e-05","High Risk"
"2623","18956","472418","0.00843947178494101","4.6418233886987","14.5661455908116","0.000374756020701705","0.0408345423002981","9.08490500498921e-06","1.87765956923029e-05","High Risk"
"2642","18955","468683","0.00837274819033464","4.60512533092964","14.4509862649171","0.000371793215582815","0.0405117061501856","9.01308013342877e-06","1.86281487274528e-05","High Risk"
"2661","18954","459680","0.0082119148510465","4.51666478436541","14.1733950917081","0.00036465138366818","0.0397335106808407","8.83994651869836e-06","1.82703178109211e-05","High Risk"
"2680","18953","448324","0.00800904654037715","4.40508556763876","13.8232570145667","0.000355643073839914","0.0387519381685492","8.62156539998527e-06","1.78189697813426e-05","High Risk"
"2699","18952","438675","0.00783667278820663","4.31022370066633","13.5255783547752","0.000347984433515623","0.0379174297016821","8.43590321987331e-06","1.74352449444402e-05","High Risk"
"2718","18951","429112","0.00766583537583159","4.21631275466545","13.2308837062563","0.000340402565470124","0.037091286573042","8.25210216759203e-06","1.7055366668926e-05","High Risk"
"2737","18950","420132","0.00750541291811666","4.12802807204904","12.9538443980482","0.000333274931871054","0.0363146381948324","8.07931275106265e-06","1.66982471379789e-05","High Risk"
"2756","18949","410941","0.00734122106857792","4.03772250734189","12.6704635166499","0.000325984143048871","0.0355202119331689","7.90256809533452e-06","1.63329529560849e-05","High Risk"
"2775","18948","414531","0.00740535432283144","4.07299640447079","12.7811537946096","0.000328831969046485","0.0358305196126712","7.97160562169799e-06","1.64756390622589e-05","High Risk"
"2794","18947","412325","0.00736594542063554","4.05132085880448","12.7131354476159","0.000327082001294541","0.0356398378670994","7.92918257867805e-06","1.63879595184018e-05","High Risk"
"2813","18946","413004","0.00737807535925341","4.05799299533267","12.7340727612388","0.000327620673950844","0.0356985332586468","7.94224118118465e-06","1.64149489144867e-05","High Risk"
"2832","18945","415126","0.00741598365048627","4.07884348227513","12.7995020555076","0.000329304030869437","0.0358819568876256","7.98304943202012e-06","1.6499291021138e-05","High Risk"
"2851","18944","417974","0.00746686150789965","4.10682613560648","12.8873122473892","0.000331563200797501","0.036128122832654","8.03781664869661e-06","1.66124833862935e-05","High Risk"
"2870","18943","422768","0.00755250351929","4.15392844698023","13.0351203537476","0.000335365989766003","0.0365424861474918","8.13000456463235e-06","1.68030164985595e-05","High Risk"
"2889","18942","420369","0.00750964678476237","4.13035820660001","12.9611564123739","0.000333463054485574","0.0363351366002907","8.0838732543976e-06","1.67076727431147e-05","High Risk"
"2908","18941","426330","0.00761613656988917","4.1889275051581","13.1449481809332","0.000338191626735082","0.0368503760437585","8.19850418044802e-06","1.69445908563037e-05","High Risk"
"2927","18940","430689","0.00769400756022095","4.2317575860312","13.2793499324481","0.000341649498638054","0.0372271561585289","8.28233055286786e-06","1.71178424095577e-05","High Risk"
"2946","18939","438895","0.00784060295977648","4.31238751532834","13.5323684535702","0.0003481591283509","0.0379364649759583","8.44013820449176e-06","1.74439977705733e-05","High Risk"
"2965","18938","447577","0.00799570182145588","4.39769201265232","13.80005587369","0.000355046157711587","0.0386868963932464","8.60709484842044e-06","1.77890621823058e-05","High Risk"
"2984","18937","463121","0.00827338630728225","4.55036246900524","14.2791391796311","0.0003673719546906","0.0400299522757961","8.90589910633589e-06","1.84066279949296e-05","High Risk"
"3003","18936","476276","0.00850839270274326","4.67961598650879","14.6847396078302","0.000377807193135747","0.0411670072186471","9.1588720934037e-06","1.89294701706748e-05","High Risk"
"3022","18935","490643","0.00876505077067092","4.820777923869","15.127708923827","0.000389203853777436","0.0424088216134735","9.43515205579093e-06","1.95004829824522e-05","High Risk"
"3041","18934","497713","0.00889135219339302","4.89024370636616","15.3456941026464","0.000394812149923934","0.0430199184166629","9.57110941182055e-06","1.97814783593065e-05","High Risk"
"3060","18933","505783","0.00903551803234174","4.96953491778796","15.5945116971403","0.000401213698707844","0.0437174504112511","9.72629694550642e-06","2.01022184853623e-05","High Risk"
"3079","18932","513118","0.0091665535253639","5.04160443895014","15.8206674661134","0.000407032206803257","0.0443514525401611","9.86735029861493e-06","2.03937462207551e-05","High Risk"
"3098","18931","520081","0.00929094345554976","5.11001890055237","16.0353535764556","0.000412555624917552","0.0449533007778709","1.00012500256353e-05","2.06704889094448e-05","High Risk"
"3117","18930","523437","0.00935089643640625","5.14299304002344","16.1388271634595","0.000415217780768705","0.0452433772802052","1.00657865018497e-05","2.08038722877649e-05","High Risk"
"3136","18929","524006","0.00936106128923919","5.14858370908155","16.1563708079784","0.000415669141519392","0.0452925589041111","1.00767284729361e-05","2.08264870500606e-05","High Risk"
"3155","18928","528911","0.0094486862508307","5.19677743795688","16.3076038068622","0.000419560045705895","0.0457165235179221","1.01710524943399e-05","2.10214350448937e-05","High Risk"
"3174","18927","526542","0.00940636544878986","5.17350099683443","16.2345618141291","0.000417680830207867","0.0455117585494984","1.01254962034723e-05","2.09272797340355e-05","High Risk"
"3193","18926","527077","0.0094159229114711","5.1787576013091","16.251057156515","0.000418105220368882","0.0455580013768968","1.01357843485184e-05","2.09485431748582e-05","High Risk"
"3212","18925","525817","0.00939341374702557","5.16637756086407","16.212208312765","0.000417105722045744","0.0454490930357343","1.01115543246715e-05","2.08984647908644e-05","High Risk"
"3231","18924","523932","0.00935973932243842","5.14785662734113","16.1540892092184","0.000415610440824224","0.0452861626999476","1.00753054397895e-05","2.08235459386196e-05","High Risk"
"3250","18923","512692","0.00915894328405136","5.03741880622825","15.807532857036","0.00040669428117972","0.0443146311486253","9.85915824293338e-06","2.03768149575952e-05","High Risk"
