"","X.18426.","X.29.","X.0.000413223140495868.","X.0.227272727272727.","X.0.681818181818182.","X.0.000256136363636364.","X.0.00397727272727273.","X.0.000715909090909091.","X.0.000365909090909091.","X.Medium.Risk."
"1","19094","191","0.00272157309774865","1.49686520376176","4.49059561128527","0.0016869670846395","0.0261951410658307","0.00471512539184953","0.00240995297805643","High Risk"
"15","19093","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00161630877742947","0.0250979623824451","0.00451763322884012","0.00230901253918495","High Risk"
"29","19092","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00161630877742947","0.0250979623824451","0.00451763322884012","0.00230901253918495","High Risk"
"43","19091","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00161630877742947","0.0250979623824451","0.00451763322884012","0.00230901253918495","High Risk"
"57","19090","163","0.00232259903106298","1.27742946708464","3.83228840125392","0.00143966300940439","0.0223550156739812","0.00402390282131661","0.00205666144200627","High Risk"
"71","19089","165","0.00235109717868339","1.29310344827586","3.87931034482759","0.0014573275862069","0.0226293103448276","0.00407327586206897","0.00208189655172414","High Risk"
"85","19088","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00146615987460815","0.0227664576802508","0.00409796238244514","0.00209451410658307","High Risk"
"99","19087","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00146615987460815","0.0227664576802508","0.00409796238244514","0.00209451410658307","High Risk"
"113","19086","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00150148902821317","0.0233150470219436","0.00419670846394984","0.00214498432601881","High Risk"
"127","19085","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00150148902821317","0.0233150470219436","0.00419670846394984","0.00214498432601881","High Risk"
"141","19084","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00150148902821317","0.0233150470219436","0.00419670846394984","0.00214498432601881","High Risk"
"155","19083","152","0.00216585921915076","1.19122257053292","3.57366771159875","0.0013425078369906","0.020846394984326","0.00375235109717868","0.00191786833855799","High Risk"
"169","19082","150","0.00213736107153035","1.17554858934169","3.52664576802508","0.00132484326018809","0.0205721003134796","0.00370297805642633","0.00189263322884013","High Risk"
"183","19081","143","0.00203761755485893","1.12068965517241","3.36206896551724","0.00126301724137931","0.0196120689655172","0.0035301724137931","0.00180431034482759","High Risk"
"197","19080","147","0.00209461385009974","1.15203761755486","3.45611285266458","0.00129834639498433","0.02016065830721","0.00362891849529781","0.00185478056426332","High Risk"
"211","19079","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00115702978056426","0.0179663009404389","0.003233934169279","0.00165289968652038","High Risk"
"225","19078","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00115702978056426","0.0179663009404389","0.003233934169279","0.00165289968652038","High Risk"
"239","19077","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.00115702978056426","0.0179663009404389","0.003233934169279","0.00165289968652038","High Risk"
"253","19076","122","0.00173838700484469","0.956112852664577","2.86833855799373","0.00107753918495298","0.0167319749216301","0.00301175548589342","0.00153934169278997","Medium Risk"
"267","19075","114","0.00162439441436307","0.893416927899686","2.68025078369906","0.00100688087774295","0.0156347962382445","0.00281426332288401","0.0014384012539185","Medium Risk"
"281","19074","114","0.00162439441436307","0.893416927899686","2.68025078369906","0.00100688087774295","0.0156347962382445","0.00281426332288401","0.0014384012539185","Medium Risk"
"295","19073","112","0.00159589626674266","0.877742946708464","2.63322884012539","0.000989216300940439","0.0153605015673981","0.00276489028213166","0.00141316614420063","Medium Risk"
"309","19072","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.000759576802507837","0.011794670846395","0.0021230407523511","0.00108510971786834","Medium Risk"
"323","19071","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.000759576802507837","0.011794670846395","0.0021230407523511","0.00108510971786834","Medium Risk"
"337","19070","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.000759576802507837","0.011794670846395","0.0021230407523511","0.00108510971786834","Medium Risk"
"351","19069","94","0.00133941293815902","0.736677115987461","2.21003134796238","0.000830235109717868","0.0128918495297806","0.0023205329153605","0.00118605015673981","Medium Risk"
"365","19068","80","0.00113992590481619","0.626959247648903","1.88087774294671","0.000706583072100313","0.0109717868338558","0.00197492163009404","0.00100940438871473","Medium Risk"
"379","19067","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.000759576802507837","0.011794670846395","0.0021230407523511","0.00108510971786834","Medium Risk"
"393","19066","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.000759576802507837","0.011794670846395","0.0021230407523511","0.00108510971786834","Medium Risk"
"407","19065","93","0.00132516386434882","0.72884012539185","2.18652037617555","0.000821402821316614","0.0127547021943574","0.00229584639498433","0.00117343260188088","Medium Risk"
"421","19064","93","0.00132516386434882","0.72884012539185","2.18652037617555","0.000821402821316614","0.0127547021943574","0.00229584639498433","0.00117343260188088","Medium Risk"
"435","19063","93","0.00132516386434882","0.72884012539185","2.18652037617555","0.000821402821316614","0.0127547021943574","0.00229584639498433","0.00117343260188088","Medium Risk"
"449","19062","106","0.00151040182388145","0.830721003134796","2.49216300940439","0.000936222570532915","0.0145376175548589","0.00261677115987461","0.00133746081504702","Medium Risk"
"463","19061","121","0.00172413793103448","0.948275862068966","2.8448275862069","0.00106870689655172","0.0165948275862069","0.00298706896551724","0.00152672413793103","Medium Risk"
"477","19060","128","0.0018238814477059","1.00313479623824","3.00940438871473","0.0011305329153605","0.0175548589341693","0.00315987460815047","0.00161504702194357","High Risk"
"491","19059","178","0.00253633513821602","1.39498432601881","4.18495297805643","0.0015721473354232","0.0244122257053292","0.00439420062695925","0.00224592476489028","High Risk"
"505","19058","164","0.00233684810487318","1.28526645768025","3.85579937304075","0.00144849529780564","0.0224921630094044","0.00404858934169279","0.0020692789968652","High Risk"
"519","19057","164","0.00233684810487318","1.28526645768025","3.85579937304075","0.00144849529780564","0.0224921630094044","0.00404858934169279","0.0020692789968652","High Risk"
"533","19056","164","0.00233684810487318","1.28526645768025","3.85579937304075","0.00144849529780564","0.0224921630094044","0.00404858934169279","0.0020692789968652","High Risk"
"547","19055","168","0.00239384440011399","1.3166144200627","3.94984326018809","0.00148382445141066","0.0230407523510972","0.00414733542319749","0.00211974921630094","High Risk"
"561","19054","197","0.00280706754060986","1.54388714733542","4.63166144200627","0.00173996081504702","0.0270180250783699","0.00486324451410658","0.00248565830721003","High Risk"
"575","19053","200","0.00284981476204047","1.56739811912226","4.70219435736677","0.00176645768025078","0.0274294670846395","0.00493730407523511","0.00252351097178683","High Risk"
"589","19052","220","0.00313479623824451","1.72413793103448","5.17241379310345","0.00194310344827586","0.0301724137931034","0.00543103448275862","0.00277586206896552","High Risk"
"603","19051","254","0.00361926474779139","1.99059561128527","5.9717868338558","0.0022434012539185","0.0348354231974922","0.00627037617554859","0.00320485893416928","High Risk"
"617","19050","254","0.00361926474779139","1.99059561128527","5.9717868338558","0.0022434012539185","0.0348354231974922","0.00627037617554859","0.00320485893416928","High Risk"
"631","19049","254","0.00361926474779139","1.99059561128527","5.9717868338558","0.0022434012539185","0.0348354231974922","0.00627037617554859","0.00320485893416928","High Risk"
"645","19048","301","0.0042889712168709","2.358934169279","7.07680250783699","0.00265851880877743","0.0412813479623824","0.00743064263322884","0.00379788401253918","High Risk"
"659","19047","325","0.00463094898831576","2.54702194357367","7.641065830721","0.00287049373040752","0.0445728840125392","0.00802311912225705","0.0041007053291536","High Risk"
"673","19046","351","0.00500142490738102","2.75078369905956","8.25235109717868","0.00310013322884013","0.0481387147335423","0.00866496865203762","0.00442876175548589","High Risk"
"687","19045","315","0.00448845825021374","2.46865203761755","7.40595611285266","0.00278217084639498","0.0432014106583072","0.0077762539184953","0.00397452978056426","High Risk"
"701","19044","438","0.00624109432886862","3.43260188087774","10.2978056426332","0.00386854231974922","0.0600705329153605","0.0108126959247649","0.00552648902821317","High Risk"
"715","19043","438","0.00624109432886862","3.43260188087774","10.2978056426332","0.00386854231974922","0.0600705329153605","0.0108126959247649","0.00552648902821317","High Risk"
"729","19042","438","0.00624109432886862","3.43260188087774","10.2978056426332","0.00386854231974922","0.0600705329153605","0.0108126959247649","0.00552648902821317","High Risk"
