"","X.18426.","X.29.","X.0.000413223140495868.","X.0.227272727272727.","X.0.681818181818182.","X.0.000486659090909091.","X.0.00397727272727273.","X.0.000859090909090909.","X.0.000695227272727273.","X.Medium.Risk."
"1","19094","191","0.00272157309774865","1.49686520376176","4.49059561128527","0.00320523746081505","0.0261951410658307","0.00565815047021944","0.00457891065830721","High Risk"
"15","19093","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00307098667711599","0.0250979623824451","0.00542115987460815","0.00438712382445141","High Risk"
"29","19092","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00307098667711599","0.0250979623824451","0.00542115987460815","0.00438712382445141","High Risk"
"43","19091","183","0.00260758050726703","1.43416927899687","4.3025078369906","0.00307098667711599","0.0250979623824451","0.00542115987460815","0.00438712382445141","High Risk"
"57","19090","163","0.00232259903106298","1.27742946708464","3.83228840125392","0.00273535971786834","0.0223550156739812","0.00482868338557994","0.00390765673981191","High Risk"
"71","19089","165","0.00235109717868339","1.29310344827586","3.87931034482759","0.0027689224137931","0.0226293103448276","0.00488793103448276","0.00395560344827586","High Risk"
"85","19088","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00278570376175549","0.0227664576802508","0.00491755485893417","0.00397957680250784","High Risk"
"99","19087","166","0.00236534625249359","1.30094043887147","3.90282131661442","0.00278570376175549","0.0227664576802508","0.00491755485893417","0.00397957680250784","High Risk"
"113","19086","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00285282915360501","0.0233150470219436","0.00503605015673981","0.00407547021943574","High Risk"
"127","19085","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00285282915360501","0.0233150470219436","0.00503605015673981","0.00407547021943574","High Risk"
"141","19084","170","0.0024223425477344","1.33228840125392","3.99686520376176","0.00285282915360501","0.0233150470219436","0.00503605015673981","0.00407547021943574","High Risk"
"155","19083","152","0.00216585921915076","1.19122257053292","3.57366771159875","0.00255076489028213","0.020846394984326","0.00450282131661442","0.00364394984326019","High Risk"
"169","19082","150","0.00213736107153035","1.17554858934169","3.52664576802508","0.00251720219435737","0.0205721003134796","0.0044435736677116","0.00359600313479624","High Risk"
"183","19081","143","0.00203761755485893","1.12068965517241","3.36206896551724","0.00239973275862069","0.0196120689655172","0.00423620689655172","0.00342818965517241","High Risk"
"197","19080","147","0.00209461385009974","1.15203761755486","3.45611285266458","0.00246685815047022","0.02016065830721","0.00435470219435737","0.00352408307210031","High Risk"
"211","19079","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.0021983565830721","0.0179663009404389","0.0038807210031348","0.00314050940438871","High Risk"
"225","19078","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.0021983565830721","0.0179663009404389","0.0038807210031348","0.00314050940438871","High Risk"
"239","19077","131","0.00186662866913651","1.02664576802508","3.07993730407523","0.0021983565830721","0.0179663009404389","0.0038807210031348","0.00314050940438871","High Risk"
"253","19076","122","0.00173838700484469","0.956112852664577","2.86833855799373","0.00204732445141066","0.0167319749216301","0.0036141065830721","0.00292474921630094","Medium Risk"
"267","19075","114","0.00162439441436307","0.893416927899686","2.68025078369906","0.0019130736677116","0.0156347962382445","0.00337711598746082","0.00273296238244514","Medium Risk"
"281","19074","114","0.00162439441436307","0.893416927899686","2.68025078369906","0.0019130736677116","0.0156347962382445","0.00337711598746082","0.00273296238244514","Medium Risk"
"295","19073","112","0.00159589626674266","0.877742946708464","2.63322884012539","0.00187951097178683","0.0153605015673981","0.00331786833855799","0.00268501567398119","Medium Risk"
"309","19072","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.00144319592476489","0.011794670846395","0.00254764890282132","0.00206170846394984","Medium Risk"
"323","19071","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.00144319592476489","0.011794670846395","0.00254764890282132","0.00206170846394984","Medium Risk"
"337","19070","86","0.0012254203476774","0.673981191222571","2.02194357366771","0.00144319592476489","0.011794670846395","0.00254764890282132","0.00206170846394984","Medium Risk"
"351","19069","94","0.00133941293815902","0.736677115987461","2.21003134796238","0.00157744670846395","0.0128918495297806","0.0027846394984326","0.00225349529780564","Medium Risk"
"365","19068","80","0.00113992590481619","0.626959247648903","1.88087774294671","0.0013425078369906","0.0109717868338558","0.00236990595611285","0.00191786833855799","Medium Risk"
