"","X.18520.","X.1094.","X.0.000124186050682666.","X.0.0683023278754661.","X.1.3053244930159.","X.0.000257337035026862.","X.0.00187769308475716.","X.3.79927746937207e.05.","X.1.28934912221235e.05.","X.Low.Risk."
"1","19094","52046","0.00590803216986291","6.47015780642129","99","0.02437707875925","0.177870519911938","0.00359898784446085","0.00122137744755859","High Risk"
"5","19035","179882","0.0204194105748622","21.3530512400243","99","0.0804501261641226","0.587014789963854","0.0118775112067172","0.004030834486795","High Risk"
"50","19093","51737","0.00587295585390226","6.43133326059217","99","0.0242308027270752","0.176803197852943","0.0035773919154764","0.00121404850348859","High Risk"
"99","19092","51571","0.00585411226668716","6.41265770214483","99","0.0241604403691908","0.176289789773873","0.00356700374414403","0.00121052310169923","High Risk"
"148","19091","51016","0.00579111111666076","6.34362352029101","99","0.023900345988423","0.174391977357946","0.00352860387990926","0.00119749145775027","High Risk"
"197","19090","50885","0.00577624057494282","6.3262930783801","99","0.0238350515149288","0.173915547755265","0.00351896392186763","0.00119421997480665","High Risk"
"246","19089","50694","0.00575455909808689","6.30371111390702","99","0.0237499713139556","0.173294749023359","0.00350640283478534","0.00118995715727512","High Risk"
"295","19088","50581","0.00574173183691034","6.28934441510786","99","0.0236958430904074","0.172899795413064","0.00349841144170187","0.00118724514275644","High Risk"
"344","19087","47232","0.00536156814062492","5.87286047694372","99","0.0221266909821677","0.161450273340711","0.00326674466081156","0.00110862509907849","High Risk"
"393","19086","47624","0.00540606625019312","5.92323001236665","99","0.0223164641173535","0.16283497765882","0.00329476242346","0.00111813340110916","High Risk"
"442","19085","46766","0.00530866987771988","5.81704787018649","99","0.0219164104370271","0.1599159340435","0.00323569922122621","0.00109808930362771","High Risk"
"491","19084","46739","0.00530560495690778","5.80986513618127","99","0.0218893486438235","0.159718474156103","0.00323170386699403","0.00109673341253691","High Risk"
"540","19083","46927","0.00532694588700681","5.83505413634161","99","0.0219842511576642","0.160410942669024","0.00324571510259344","0.00110148836251539","High Risk"
"589","19082","48194","0.00547077013400401","5.99517431460634","99","0.0225875227181555","0.164812791929652","0.00333478102532191","0.00113171439107338","High Risk"
"638","19081","49417","0.00560959969523336","6.146673237203","99","0.0231583126862788","0.168977635034657","0.00341905142446629","0.00116031297752599","High Risk"
"687","19080","51052","0.00579519767774356","6.35045532193294","99","0.0239260856027687","0.174579789795655","0.00353240403004479","0.00119878110302652","High Risk"
"736","19079","51379","0.0058323172742456","6.38940374084441","99","0.0240728283413169","0.175650517238293","0.0035540688627146","0.00120613343072853","High Risk"
"785","19078","52784","0.00599180667206017","6.56474004455229","99","0.0247334284399112","0.180470671619845","0.00365159866718261","0.00123923182082878","High Risk"
"834","19077","54712","0.00621066472116088","6.80549411631608","99","0.0256404976559312","0.187089219914454","0.00378551672663432","0.00128467918122675","High Risk"
"883","19076","55894","0.00634484014337927","6.95406083918097","99","0.0262002402174939","0.191173454183264","0.00386815610664318","0.00131272425372634","High Risk"
"932","19075","57726","0.0065528006962592","7.1824741887043","99","0.0270608143143835","0.197452744804927","0.00399520971075021","0.00135584204500374","High Risk"
"981","19074","60014","0.00681252435618784","7.46682327849529","99","0.028132132876363","0.20526975977594","0.00415337724674533","0.00140951887575427","High Risk"
"1030","19073","65524","0.0074379952330265","8.15245157066369","99","0.0307153179203463","0.224118304810389","0.00453475401732172","0.00153894553867608","High Risk"
"1079","19072","65929","0.00748396904520792","8.2022707664789","99","0.0309030175864819","0.225487879792386","0.00456246565674754","0.0015483499526092","High Risk"
"1128","19071","68452","0.00777036886776036","8.51424567309445","99","0.0320784196550264","0.234064353581652","0.0047359998935125","0.00160724173338869","High Risk"
"1177","19070","71948","0.00816721935513385","8.94783024490306","99","0.0337120004071503","0.24598398761853","0.00497717880292585","0.00168908987889927","High Risk"
"1226","19069","74777","0.00848835494689003","9.29702328427523","99","0.0350276261581188","0.255583621711089","0.00517141541069816","0.00175500735972336","High Risk"
"1275","19068","77525","0.00880029577620993","9.63225584367737","99","0.0362906541626445","0.264799469518246","0.00535788658226038","0.00181828950831868","High Risk"
"1324","19067","80999","0.00919464892069949","10.0632325528263","99","0.0379144094861853","0.276647411039885","0.00559761488315797","0.00189964536527399","High Risk"
"1373","19066","83986","0.00953371997498571","10.4333262751092","99","0.0393087810125554","0.286821623905803","0.00580347737487117","0.00196950828661275","High Risk"
"1422","19065","87150","0.00989288328792899","10.8265685920933","99","0.0407903675857726","0.297632212683701","0.00602221613845259","0.00204374098877549","High Risk"
"1471","19064","88961","0.0100984600135106","11.0469392954358","99","0.0416206400694331","0.303690403650542","0.0061447960671551","0.00208534056257539","High Risk"
"1520","19063","93788","0.0106463997453618","11.6377798835604","99","0.043846701315819","0.31993314853236","0.00647344772578455","0.0021968740662438","High Risk"
"1569","19062","97363","0.0110522179640003","12.0770591881746","99","0.0455017376420212","0.332009335950962","0.00671779429737213","0.0022797972115344","High Risk"
"1618","19061","96706","0.0109776382242394","11.9838935760066","99","0.0451507252659057","0.329448128578586","0.00666597146464588","0.00226221025600804","High Risk"
"1667","19060","101106","0.0114771068010252","12.5258537103966","99","0.0471926236670988","0.344347105351582","0.0069674336537004","0.00236451655292136","High Risk"
"1716","19059","105537","0.0119800943609657","13.0708533466846","99","0.0492459737483553","0.359329640794871","0.00727058654809963","0.00246739661931314","High Risk"
"1765","19058","108202","0.0122826133966781","13.3944664214969","99","0.0504652239812307","0.36822605840775","0.0074505944485873","0.00252848534746108","High Risk"
"1814","19057","111177","0.0126203222639367","13.7629853772202","99","0.0518536623898007","0.378356979509374","0.00765558098551308","0.00259805099871484","High Risk"
"1863","19056","116493","0.0132237711171625","14.4190359442784","99","0.0543254098837114","0.396392405992381","0.00802050531762919","0.00272189424814342","High Risk"
"1912","19055","121305","0.0137700081152292","15.0136634635508","99","0.0565657388375641","0.412739257054029","0.00835126343479899","0.00283414261417497","High Risk"
"1961","19054","127463","0.0144690370915582","15.7762828715205","99","0.0594389969446475","0.433704357852016","0.0087754660680808","0.00297810295854868","High Risk"
"2010","19053","130717","0.0148384168072084","16.1732807286018","99","0.060934732955865","0.444618189841228","0.00899629382911232","0.00305304459735801","High Risk"
"2059","19052","134354","0.0152512729921562","16.616767238216","99","0.0626056204205881","0.456810037149916","0.00924298063413889","0.00313676194048087","High Risk"
"2108","19051","137719","0.0156332529378117","17.0228980093146","99","0.0641357657570435","0.467974941247905","0.00946888852575086","0.00321342760759754","High Risk"
"2157","19050","143593","0.0163000434878209","17.735541843143","99","0.0668207350242981","0.487566168081552","0.00986529253506775","0.00334795401836234","High Risk"
"2206","19049","139939","0.0158852575379173","17.2642121433576","99","0.0650449450734194","0.474608886163704","0.00960311811660496","0.00325898069145042","High Risk"
"2255","19048","146706","0.0166534175058969","18.0788059456952","99","0.0681140228100819","0.497002810311124","0.0100562312060379","0.00341275228850617","High Risk"
"2304","19047","153876","0.0174673242548865","18.9268525597366","99","0.0713091379402704","0.520316382663163","0.0105279522284282","0.00357283880260026","High Risk"
"2353","19046","157666","0.0178975483244362","19.3781467883691","99","0.0730094419025711","0.532722871265412","0.0107789820319844","0.00365803001579108","High Risk"
"2402","19045","167336","0.0189952440375087","20.5532607903114","99","0.0774368217955336","0.565027823437339","0.0114326323965317","0.00387985733178918","High Risk"
