"","X.18449.","X.39698.","X.0.00212164852164955.","X.0.332568405768567.","X.23.8275171216641.","X.0.00125299049309319.","X.0.00914260780187339.","X.0.000693523713343154.","X.6.27792339428134e.05.","X.Medium.Risk."
"1","19094","1741","9.30472587080423e-05","0.0287769726221642","2.06178276700594","0.000108420621111757","0.000791105137608242","6.00102492164749e-05","5.43225473339157e-06","Low Risk"
"38","19093","1694","9.05353568359699e-05","0.0280358386385267","2.00868276598885","0.000105628311861995","0.000770730690656859","5.84647205868715e-05","5.29235021169108e-06","Low Risk"
"75","19092","1624","8.67942263882026e-05","0.0269000667954206","1.92730815983703","0.00010134915816895","0.000739507290196034","5.60962313002165e-05","5.077949550031e-06","Low Risk"
"112","19091","1584","8.46564375609069e-05","0.0262411326607939","1.88009752857316","9.88665464958599e-05","0.00072139259181921","5.47221186666505e-05","4.95356196698613e-06","Low Risk"
"149","19090","1550","8.28393170577056e-05","0.0256367619626734","1.83679620196609","9.65895089724097e-05","0.000704777891913816","5.34617902544249e-05","4.83947437241201e-06","Low Risk"
"186","19089","1485","7.93654102133503e-05","0.0245685038173927","1.76025874739885","9.25647210581373e-05","0.000675410504380752","5.12340911017911e-05","4.63781833157761e-06","Low Risk"
"223","19088","1491","7.96860785374446e-05","0.0246166766307116","1.76371018329659","9.27462177850278e-05","0.000676734818811253","5.13345485950305e-05","4.64691195642163e-06","Low Risk"
"260","19087","1483","7.92585207719855e-05","0.0244969073795515","1.75512907988119","9.22949730772761e-05","0.000673442253218469","5.1084786999022e-05","4.62430300828551e-06","Low Risk"
"297","19086","1509","8.06480835097276e-05","0.0249295361768555","1.78612562043101","9.39249528368011e-05","0.000685335612145352","5.1986972308265e-05","4.70597073139221e-06","Low Risk"
"334","19085","1521","8.12894201579163e-05","0.025141379106116","1.80130352349251","9.47230959309383e-05","0.00069115936685035","5.2428740354773e-05","4.74596050968892e-06","Low Risk"
"371","19084","1468","7.84568499617496e-05","0.0242410305911924","1.73679628443236","9.13309272519481e-05","0.000666407967697077","5.05511926546881e-05","4.57600091921661e-06","Low Risk"
"408","19083","1477","7.89378524478911e-05","0.0244000686990176","1.74819088226986","9.19301219850858e-05","0.000670780069857647","5.08828438193465e-05","4.6060226843747e-06","Low Risk"
"445","19082","1512","8.08084176717748e-05","0.0249330717386613","1.7863789327061","9.39382734807756e-05","0.000685432807953459","5.19943452153437e-05","4.70663814254094e-06","Low Risk"
"482","19081","1533","8.1930756806105e-05","0.0252577176575266","1.80963882768129","9.51614150748174e-05","0.000694357619388281","5.26713477184917e-05","4.76792184158001e-06","Low Risk"
"519","19080","1569","8.38547667506711e-05","0.0258475527793957","1.85189872435686","9.73836881091018e-05","0.000710572723088698","5.39013642711307e-05","4.8792655424885e-06","Low Risk"
"556","19079","1615","8.6313223902061e-05","0.0265930436175434","1.9053108807789","0.000100192412319474","0.000731066943931243","5.54559784959506e-05","5.01999251149248e-06","Low Risk"
"593","19078","1676","8.95733518636869e-05","0.027598442933024","1.97734469093117","0.000103980372216471","0.00075870628509015","5.75525945742425e-05","5.20978263508115e-06","Low Risk"
"630","19077","1717","9.17645854116649e-05","0.028269433113914","2.0254191013269","0.000106508406458543","0.000777152415138518","5.89518483632206e-05","5.33644604870901e-06","Low Risk"
"667","19076","1779","9.50781580939731e-05","0.0292936579065228","2.09880169979097","0.000110367293549646","0.000805309285777316","6.10877222741158e-05","5.52978987436984e-06","Low Risk"
"704","19075","1880","0.000100476074882895","0.0309644111076742","2.21850609688944","0.0001166620522851","0.000851239810105241","6.45718384560641e-05","5.84517944312154e-06","Low Risk"
"741","19074","1956","0.000104537873654756","0.0322370120344833","2.30968409169181","0.000121456725606844","0.000886224766464003","6.72256651727819e-05","6.08540945269013e-06","Low Risk"
"778","19073","2029","0.000108439338264571","0.0334406185849747","2.39591884878874","0.000125991454519848","0.000919313004697211","6.97356140128451e-05","6.31261533243622e-06","Low Risk"
"815","19072","2079","0.00011111157429869","0.0342641982978759","2.45492583613281","0.000129094387728987","0.000941953959694825","7.14530713864817e-05","6.46808320782651e-06","Low Risk"
"852","19071","2231","0.000119235171842414","0.0367652060367717","2.63411545152087","0.000138517227859416","0.00101070893602317","7.66685643319665e-05","6.94020066459476e-06","Low Risk"
"889","19070","2444","0.000130618897347763","0.0402890859845053","2.88659075685042","0.000151793859062877","0.00110758359923287","8.40171105688884e-05","7.6054066185816e-06","Low Risk"
"926","19069","2606","0.00013927694209831","0.0429731158925782","3.07889335529435","0.000161906256691933","0.00118137002137149","8.96142699991974e-05","8.11207333311513e-06","Low Risk"
"963","19068","2784","0.000148790102379776","0.0459535394851679","3.29243166185156","0.00017313535230694","0.0012633045753395","9.58295159498515e-05","8.67469054726529e-06","Low Risk"
"1000","19067","2965","0.000158463596823289","0.0489719514999166","3.50869172358352","0.000184507573760081","0.00134628346556671","0.000102123981306622","9.24447886967609e-06","Low Risk"
"1037","19066","3178","0.000169847322328638","0.0524880074838899","3.76060646565057","0.000197754727261992","0.00144294304090012","0.000109456211789226","9.90820788706056e-06","Low Risk"
"1074","19065","3300","0.000176367578251889","0.0544879586527435","3.90389689821058","0.000205289777969629","0.00149792351662351","0.000113626823119317","1.02857404491616e-05","Low Risk"
"1111","19064","3748","0.000200310813117601","0.0618795004818135","4.43347844123384","0.000233138279151579","0.0017011237209188","0.000129040823510552","1.16810483787074e-05","Low Risk"
"1148","19063","4027","0.000215221890187988","0.0664775882908385","4.76291748022855","0.000250462114522536","0.00182752933476338","0.000138629476179532","1.25490335067152e-05","Low Risk"
"1185","19062","4313","0.000230507080303151","0.0712050726120287","5.10162738667709","0.000268273466436766","0.00195749217635762","0.000148487966716623","1.34414449294873e-05","Low Risk"
"1222","19061","4657","0.000248892064217894","0.0768546802871459","5.50640463332635","0.000289559026291043","0.00211280502722414","0.000160269413257597","1.450792639847e-05","Low Risk"
"1259","19060","5032","0.00026893383447379","0.0830008338784517","5.94675788814246","0.000312715381150427","0.00228176837672069","0.000173086335092274","1.56681412819775e-05","Low Risk"
"1296","19059","5353","0.000286089589812838","0.088261376034269","6.32365977092127","0.000332535091006877","0.00242638546277464","0.000184056441292435","1.66611785066136e-05","Low Risk"
"1333","19058","5641","0.000301481669369366","0.0929502691984812","6.65960473807393","0.000350201046208815","0.00255528739838157","0.00019383445550638","1.75463050423369e-05","Low Risk"
"1370","19057","6054","0.000323554339011194","0.0996995723368353","7.14317182772828","0.000375629837761693","0.00274083187723043","0.000207909159217859","1.88203770026438e-05","Low Risk"
"1407","19056","6415","0.000342847883177537","0.105427576039943","7.55356591189672","0.000397210763850598","0.00289829990617373","0.000219854089431666","1.99016573596027e-05","Medium Risk"
"1444","19055","6720","0.000359148522985666","0.110300363855037","7.90268637277176","0.000415569563728365","0.00303225727290613","0.000230015589565895","2.08214978522391e-05","Medium Risk"
"1481","19054","7133","0.000381221192627493","0.11692176201159","8.37708945859706","0.000440516458253636","0.00321428552753096","0.000243823565781926","2.20714250752961e-05","Medium Risk"
"1518","19053","7574","0.000404790314448428","0.12407643270366","8.88969990342025","0.000467472519631921","0.00341097392893813","0.00025874360538895","2.34220186294949e-05","Medium Risk"
"1555","19052","7986","0.000426809539369572","0.130784202304438","9.37029124113725","0.000492744828708339","0.00359537661308223","0.000272731696864541","2.46882502669488e-05","Medium Risk"
"1592","19051","8314","0.000444339407753397","0.135483767950524","9.70700085923125","0.000510450993738069","0.00372457194491786","0.000282531967008785","2.55753914565738e-05","Medium Risk"
"1629","19050","8538","0.000456311025186252","0.139077491611816","9.96448025470212","0.000523990769327989","0.00382336667530598","0.00029002616229336","2.62537818705301e-05","Medium Risk"
"1666","19049","9018","0.0004819644911138","0.146774115379232","10.5159199928615","0.000552988702511689","0.0040349538594266","0.000306076367312226","2.77066803891002e-05","Medium Risk"
"1703","19048","9535","0.000509595411706596","0.155157690250705","11.1165776931296","0.000584574804588387","0.00426542595388303","0.000323559110336231","2.92892552789698e-05","Medium Risk"
"1740","19047","10083","0.000538883118640546","0.163832665387144","11.7381133381523","0.000617258791356941","0.00450390890652606","0.00034164952682026","3.09268380562034e-05","Medium Risk"
"1777","19046","10817","0.000578111543621421","0.175541031790554","12.5769822628754","0.000661371435669081","0.00482578254265703","0.000366065645743253","3.31370368026212e-05","Medium Risk"
"1814","19045","11433","0.000611033491561773","0.185425003476347","13.285138842058","0.000698610458803825","0.00509750190950184","0.00038667725113694","3.50028429344831e-05","Medium Risk"
"1851","19044","12138","0.000648712019642859","0.196687054569384","14.0920306291003","0.000741041557812447","0.0054071059320197","0.000410162643490592","3.71287903425413e-05","Medium Risk"
"1888","19043","12886","0.000688688670713287","0.208421109174492","14.9327400355262","0.000785250985438796","0.00572968576016765","0.000434632331474026","3.9343838273656e-05","Medium Risk"
