"","X.18449.","X.39698.","X.0.00212164852164955.","X.0.385079206679393.","X.37.622395455259.","X.0.000207261585323686.","X.0.00151231106497154.","X.0.00109503744212077.","X.7.26917445653629e.05.","X.Medium.Risk."
"1","19094","1741","9.30472587080423e-05","0.0667027441852082","5.21856712245671","3.59014879678424e-05","0.000261959867854518","0.000151891614666225","1.25915363852841e-05","Low Risk"
"38","19093","1694","9.05353568359699e-05","0.0650260306640448","5.08660503818483","3.49990286906285e-05","0.000255374956576891","0.000148050726241408","1.2275021681619e-05","Low Risk"
"75","19092","1624","8.67942263882026e-05","0.0624252301456551","4.88242973224403","3.35991970996153e-05","0.000245160903640454","0.000142107999786695","1.17840662530501e-05","Low Risk"
"112","19091","1584","8.46564375609069e-05","0.060899272721439","4.76303298553899","3.27778794345906e-05","0.000239168052670345","0.000138632838077098","1.14960099119788e-05","Low Risk"
"149","19090","1550","8.28393170577056e-05","0.0594529957668375","4.65070018217605","3.19994482723041e-05","0.000233488128635189","0.000135363279502416","1.12229949240721e-05","Low Risk"
"186","19089","1485","7.93654102133503e-05","0.0569874536512648","4.45755902030455","3.06724169533127e-05","0.000223805272334826","0.000129741712844984","1.0757572344583e-05","Low Risk"
"223","19088","1491","7.96860785374446e-05","0.0570400950888786","4.46280207707416","3.07007502094956e-05","0.000224012009616919","0.00012989431725532","1.07675095156122e-05","Low Risk"
"260","19087","1483","7.92585207719855e-05","0.0567759008273439","4.44188954626879","3.05585526549943e-05","0.000222974446699757","0.000129285637133699","1.07176373297294e-05","Low Risk"
"297","19086","1509","8.06480835097276e-05","0.0577857860467183","4.52071616009933","3.11021042358948e-05","0.000226940541376177","0.000131579964555851","1.09082742613886e-05","Low Risk"
"334","19085","1521","8.12894201579163e-05","0.058296277423606","4.56023537263107","3.13768665451355e-05","0.000228945380236465","0.0001327302107558","1.1004640172941e-05","Low Risk"
"371","19084","1468","7.84568499617496e-05","0.0561877867669209","4.39560196690439","3.02420114073753e-05","0.000220664762391657","0.000127938390848719","1.06066185151219e-05","Low Risk"
