"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0113636363636364.","X.0.0340909090909091.","X.4.01668387614773e.06.","X.6.50826445738637e.05.","X.3.9375e.07.","X.2.0125e.07.","X.Low.Risk."
"1","19094","191","0.00272157309774865","0.221668050670747","0.665004152012241","7.83526026787933e-05","0.00126955338005632","7.68079795574138e-06","3.92574117737893e-06","Medium Risk"
"15","19093","183","0.00260758050726703","0.212458119367657","0.63737435810297","7.50971850130248e-05","0.00121680559172803","7.36167383608931e-06","3.7626332940012e-06","Medium Risk"
"29","19092","183","0.00260758050726703","0.212709491445124","0.638128474335371","7.51860370440266e-05","0.0012182452681705","7.37038387857354e-06","3.76708509349314e-06","Medium Risk"
"43","19091","183","0.00260758050726703","0.212873904955339","0.638621714866018","7.52441519884309e-05","0.00121918690918277","7.3760808067025e-06","3.76999685675906e-06","Medium Risk"
"57","19090","163","0.00232259903106298","0.189655379631947","0.568966138895842","6.70371420745241e-05","0.00108620808244143","6.57155890424698e-06","3.35879677328179e-06","Medium Risk"
"71","19089","165","0.00235109717868339","0.19209742439493","0.576292273184789","6.79003271950626e-05","0.00110019433879959","6.65617575528431e-06","3.4020453860342e-06","Medium Risk"
"85","19088","166","0.00236534625249359","0.193289350415176","0.579868051245527","6.83216351174459e-05","0.00110702082418258","6.69747599188583e-06","3.42315439585276e-06","Medium Risk"
"99","19087","166","0.00236534625249359","0.193359669714011","0.580079009142032","6.83464907521014e-05","0.00110742356198466","6.69991255559047e-06","3.42439975063513e-06","Medium Risk"
"113","19086","170","0.0024223425477344","0.198094897157746","0.594284691473238","7.00202429837382e-05","0.001134543500958","6.8639881865159e-06","3.50826062866368e-06","Medium Risk"
"127","19085","170","0.0024223425477344","0.198151003768013","0.59445301130404","7.00400748852171e-05","0.00113486483881654","6.86593228056166e-06","3.50925427673152e-06","Medium Risk"
"141","19084","170","0.0024223425477344","0.198158488399411","0.594475465198232","7.00427204642633e-05","0.00113490770534178","6.86619162303958e-06","3.50938682955356e-06","Medium Risk"
"155","19083","152","0.00216585921915076","0.177271741917921","0.531815225753763","6.26599201763335e-05","0.00101528361195657","6.14246585745597e-06","3.13948254936638e-06","Medium Risk"
"169","19082","150","0.00213736107153035","0.174903831158187","0.52471149347456","6.18229390670807e-05","0.00100172194125303","6.06041774963117e-06","3.09754684981149e-06","Medium Risk"
"183","19081","143","0.00203761755485893","0.166769646070786","0.500308938212358","5.89477634594982e-05","0.000955135244882191","5.77856823635273e-06","2.95349043191362e-06","Medium Risk"
"197","19080","147","0.00209461385009974","0.171461863817797","0.514385591453391","6.06063131318641e-05","0.000982008855592678","5.94115358128667e-06","3.03658960821318e-06","Medium Risk"
"211","19079","131","0.00186662866913651","0.152833947224299","0.458501841672896","5.40219373358591e-05","0.00087532169700973","5.29569627132195e-06","2.70668920534233e-06","Medium Risk"
"225","19078","131","0.00186662866913651","0.152811883885446","0.458435651656337","5.40141386476056e-05","0.00087519533425095","5.29493177663069e-06","2.70629846361124e-06","Medium Risk"
"239","19077","131","0.00186662866913651","0.152846643242336","0.458539929727008","5.40264249742619e-05","0.000875394410567519","5.29613618834694e-06","2.70691405182177e-06","Medium Risk"
"253","19076","122","0.00173838700484469","0.142366793964572","0.427100381893715","5.03221317118379e-05","0.000815373455663068","4.9330094108724e-06","2.52131592111256e-06","Medium Risk"
"267","19075","114","0.00162439441436307","0.133016814354949","0.399050443064848","4.70172114258934e-05","0.000761823572488948","4.609032617399e-06","2.35572778222615e-06","Medium Risk"
"281","19074","114","0.00162439441436307","0.133045542900776","0.399136628702327","4.70273660527322e-05","0.000761988108705816","4.61002806151188e-06","2.35623656477274e-06","Medium Risk"
