"","X.18449.","X.39698.","X.0.00212164852164955.","X.0.175036003036088.","X.15.0489581821036.","X.0.000659468680575364.","X.0.00481189884309126.","X.0.000438014976848308.","X.3.3041702075165e.05.","X.Medium.Risk."
"1","19094","1741","9.30472587080423e-05","0.0574861522362039","4.22858784709552","0.000216585824110414","0.00158034658379469","0.000123077277877562","1.08517121203037e-05","Low Risk"
"38","19093","1694","9.05353568359699e-05","0.0560586074772867","4.12335093480438","0.000211207381719728","0.00154110208063679","0.000120014252308416","1.05822332256481e-05","Low Risk"
"75","19092","1624","8.67942263882026e-05","0.0538266762417563","3.9589808742127","0.000202798318889799","0.0014797442619948","0.000115230097324835","1.01609095798982e-05","Low Risk"
"112","19091","1584","8.46564375609069e-05","0.052512799172611","3.86232893714828","0.000197848132858364","0.00144362458696039","0.000112416946044638","9.91288783620504e-06","Low Risk"
"149","19090","1550","8.28393170577056e-05","0.051245187047574","3.7693305128107","0.000193072255432694","0.00140877677729751","0.000109710133905868","9.67359956718701e-06","Low Risk"
"186","19089","1485","7.93654102133503e-05","0.0491228837941783","3.61315078696662","0.000185076228889463","0.00135043273154368","0.00010516436680545","9.2729704931936e-06","Low Risk"
"223","19088","1491","7.96860785374446e-05","0.0491433144146567","3.61498244330389","0.000185153203649492","0.00135099438787346","0.000105217678994803","9.27682719960457e-06","Low Risk"
"260","19087","1483","7.92585207719855e-05","0.0489218415148074","3.59861862866083","0.000184318778511158","0.00134490589652268","0.000104741393805802","9.23501956318913e-06","Low Risk"
"297","19086","1509","8.06480835097276e-05","0.0497931308312643","3.66266171489748","0.000187601463250051","0.00136885843189331","0.000106605431873806","9.3994936229042e-06","Low Risk"
"334","19085","1521","8.12894201579163e-05","0.0502392123687961","3.69535811706924","0.00018928212778696","0.00138112161887852","0.000107557093355417","9.48370083175665e-06","Low Risk"
"371","19084","1468","7.84568499617496e-05","0.0484093649029383","3.56086348660886","0.000182387962740729","0.00133081744858631","0.000103642492641238","9.13827889706242e-06","Low Risk"
"408","19083","1477","7.89378524478911e-05","0.0487546551335228","3.58606764753652","0.000183688884201625","0.00134030979091738","0.000104376084949198","9.20345964119817e-06","Low Risk"
"445","19082","1512","8.08084176717748e-05","0.0497480688393612","3.65947353439591","0.000187431686907875","0.00136761963677148","0.000106512636692127","9.39098723058748e-06","Low Risk"
"482","19081","1533","8.1930756806105e-05","0.0503669229168282","3.70510148920878","0.000189763292262528","0.00138463249794149","0.000107840683944911","9.50780886557106e-06","Low Risk"
"519","19080","1569","8.38547667506711e-05","0.0515395879240723","3.79137220692067","0.000194181445280594","0.00141687012502286","0.000110351679454633","9.72917388266038e-06","Low Risk"
"556","19079","1615","8.6313223902061e-05","0.0530102514008702","3.89961098795271","0.000199722342500547","0.00145730000093314","0.000113502077415351","1.0006792336066e-05","Low Risk"
"593","19078","1676","8.95733518636869e-05","0.0550148575743582","4.04708045730473","0.000207274931484373","0.00151240844696565","0.000117794323790311","1.03852036275348e-05","Low Risk"
"630","19077","1717","9.17645854116649e-05","0.0563456231855488","4.14500923847763","0.000212288747079705","0.00154899240337372","0.00012064463889513","1.06364134363407e-05","Low Risk"
"667","19076","1779","9.50781580939731e-05","0.0583897272049113","4.29538518978231","0.000219990148832634","0.00160518668109554","0.000125021481333804","1.10222807713283e-05","Low Risk"
"704","19075","1880","0.000100476074882895","0.0617256168849925","4.54079737666703","0.000232558504643493","0.00169689332095153","0.000132164448445271","1.16519996351791e-05","Low Risk"
"741","19074","1956","0.000104537873654756","0.0642995543361056","4.72994944227655","0.000242256116022445","0.0017676532013668","0.000137669908466901","1.213788409863e-05","Low Risk"
"778","19073","2029","0.000108439338264571","0.0667026575725337","4.906703812374","0.000251310089451482","0.00183371669392046","0.000142814521162958","1.25915200353324e-05","Low Risk"
"815","19072","2079","0.00011111157429869","0.0683430288935853","5.02739144323989","0.000257490380888579","0.00187881199274525","0.00014632725534694","1.29011743895378e-05","Low Risk"
"852","19071","2231","0.000119235171842414","0.0733314849494018","5.39431081590804","0.000276284974436052","0.00201594918456542","0.000157006810607819","1.38428496789202e-05","Low Risk"
