"","X.18438.","X.15.","X.0.000213736107153035.","X.0.117554858934169.","X.0.352664576802508.","X.0.000442901725198537.","X.0.00323168993746082.","X.1.02646551724138e.05.","X.2.21909353448276e.05.","X.Medium.Risk."
"1","19094","191","0.00272157309774865","2.96511310858835","8.89533932576504","0.0111714115699633","0.0815136548445371","0.000258907746415717","0.000559727040458889","High Risk"
"15","19093","183","0.00260758050726703","2.841665833175","8.524997499525","0.0107063094742494","0.0781199770214564","0.000248128577221175","0.000536423788411036","High Risk"
"29","19092","183","0.00260758050726703","2.84417955394967","8.53253866184901","0.0107157802122339","0.0781890814906952","0.000248348070291777","0.000536898305718882","High Risk"
"43","19091","183","0.00260758050726703","2.84582368905182","8.53747106715547","0.0107219746841579","0.078234280259284","0.000248491632880627","0.000537208670565396","High Risk"
"57","19090","163","0.00232259903106298","2.53526852986179","7.60580558958538","0.00955192168063557","0.0696968366173926","0.000221374577490472","0.000478584896771002","High Risk"
"71","19089","165","0.00235109717868339","2.56752596808723","7.70257790426168","0.00967345536431367","0.0705836229184146","0.00022419123248144","0.000484674162093937","High Risk"
"85","19088","166","0.00236534625249359","2.58336372358749","7.75009117076248","0.00973312596660047","0.0710190172147137","0.000225574153616213","0.000487663869295325","High Risk"
"99","19087","166","0.00236534625249359","2.58406691657584","7.75220074972753","0.0097357753286984","0.0710383486292136","0.000225635555021569","0.000487796611661577","High Risk"
"113","19086","170","0.0024223425477344","2.64709317220442","7.94127951661326","0.00997323414242836","0.0727709976915954","0.000231138881610546","0.000499694134029952","High Risk"
"127","19085","170","0.0024223425477344","2.64765423830709","7.94296271492128","0.009975348024807","0.0727864219088051","0.000231187872780499","0.000499800046977502","High Risk"
"141","19084","170","0.0024223425477344","2.64772908462107","7.9431872538632","0.00997563001707753","0.0727884795020166","0.000231194408210942","0.000499814175782804","High Risk"
"155","19083","152","0.00216585921915076","2.36832870444567","7.10498611333701","0.00892295629926797","0.0651075090570501","0.000206797725814787","0.000447071517350756","High Risk"
"169","19082","150","0.00213736107153035","2.33681260625271","7.01043781875814","0.00880421570115282","0.0642411028674495","0.000204045803152774","0.000441122195445544","High Risk"
"183","19081","143","0.00203761755485893","2.22804128829406","6.68412386488219","0.00839440699726094","0.0612508804562417","0.000194548109211261","0.000420589336948017","High Risk"
"197","19080","147","0.00209461385009974","2.2906374469554","6.8719123408662","0.00863024537019822","0.0629717057620066","0.000200013880593252","0.000432405669529098","High Risk"
"211","19079","131","0.00186662866913651","2.04166235625553","6.12498706876658","0.00769220250066283","0.0561271541833793","0.00017827387362352","0.000385406420069852","High Risk"
"225","19078","131","0.00186662866913651","2.04144172286699","6.12432516860098","0.0076913712384819","0.0561210887709578","0.0001782546083573","0.000385364770908736","High Risk"
"239","19077","131","0.00186662866913651","2.0417893164359","6.12536794930769","0.00769268083804019","0.0561306444341532","0.00017828495953255","0.000385430386456096","High Risk"
"253","19076","122","0.00173838700484469","1.901724365978","5.70517309793401","0.00716496970163885","0.0522801316175013","0.000166054768188467","0.000358990201100353","High Risk"
"267","19075","114","0.00162439441436307","1.77687660749934","5.33062982249801","0.00669459112164041","0.0488479532418206","0.000155153311613627","0.000335422578617831","High Risk"
"281","19074","114","0.00162439441436307","1.7771638929576","5.3314916788728","0.00669567350331517","0.0488558509802303","0.000155178396805272","0.000335476809749471","High Risk"
"295","19073","112","0.00159589626674266","1.74592594323219","5.23777782969657","0.00657798086219008","0.0479970913448583","0.000152450761511148","0.00032957999417803","High Risk"
"309","19072","86","0.0012254203476774","1.34052155181478","4.02156465544435","0.00505057224641877","0.0368521560846345","0.000117051660861363","0.000253051446400258","High Risk"
"323","19071","86","0.0012254203476774","1.34046829479786","4.02140488439357","0.00505037159435819","0.0368506920008249","0.000117047010565159","0.000253041393025774","High Risk"
"337","19070","86","0.0012254203476774","1.34046583705498","4.02139751116493","0.00505036233452349","0.0368506244352389","0.000117046795959966","0.000253040929075463","High Risk"
"351","19069","94","0.00133941293815902","1.46490632248066","4.39471896744199","0.00551920646550445","0.0402716065044542","0.000127912690266367","0.000276531670261302","High Risk"
"365","19068","80","0.00113992590481619","1.24635234842469","3.73905704527407","0.00469577872261044","0.0342633590772314","0.000108828994359747","0.000235275042065719","High Risk"
"379","19067","86","0.0012254203476774","1.33964201842081","4.01892605526244","0.00504725850115047","0.0368279769120786","0.000116974861764469","0.000252885416098694","High Risk"
"393","19066","86","0.0012254203476774","1.33944618185891","4.01833854557673","0.00504652066392357","0.0368225931869631","0.000116957761707556","0.000252848447856608","High Risk"
"407","19065","93","0.00132516386434882","1.44843202226257","4.3452960667877","0.00545713760629958","0.0398187130151996","0.000126474187319923","0.000273421801947005","High Risk"
"421","19064","93","0.00132516386434882","1.44826340979865","4.34479022939595","0.00545650233905638","0.0398140777052863","0.000126459464416798","0.000273389972822126","High Risk"
"435","19063","93","0.00132516386434882","1.44784577166916","4.34353731500749","0.00545492883839691","0.0398025964534453","0.000126422997090608","0.000273311134900725","High Risk"
"449","19062","106","0.00151040182388145","1.64981389888606","4.94944169665818","0.00621586745710236","0.0453548838733992","0.000144058450022933","0.000311436838027091","High Risk"
"463","19061","121","0.00172413793103448","1.88227802152643","5.6468340645793","0.0070917033170377","0.0517455339304782","0.000164356752283645","0.000355319297350984","High Risk"
"477","19060","128","0.0018238814477059","1.98989299929739","5.96967899789217","0.00749715537358476","0.0547039674987343","0.000173753476912649","0.000375633872482137","High Risk"
"491","19059","178","0.00253633513821602","2.76613015817085","8.29839047451255","0.0104217199551372","0.0760434326485273","0.000241532953151162","0.000522164851813752","High Risk"
"505","19058","164","0.00233684810487318","2.54787485208268","7.64362455624803","0.00959941747885829","0.0700433958752488","0.000222475336334155","0.000480964603436265","High Risk"
"519","19057","164","0.00233684810487318","2.54726270846694","7.64178812540081","0.00959711115595561","0.0700265674907719","0.000222421885177916","0.000480849048541114","High Risk"
"533","19056","164","0.00233684810487318","2.54616259871004","7.63848779613013","0.00959296636335706","0.0699963244734804","0.000222325825794164","0.000480641379843208","High Risk"
"547","19055","168","0.00239384440011399","2.60730423530778","7.82191270592334","0.00982332465374269","0.0716771636454574","0.000227664591218605","0.000492183140999819","High Risk"
"561","19054","197","0.00280706754060986","3.05701568546547","9.17104705639642","0.0115176653124127","0.084040140228581","0.000266932495623474","0.000577075571689277","High Risk"
"575","19053","200","0.00284981476204047","3.10199937747181","9.30599813241543","0.0116871466505389","0.0852767828150701","0.000270860381642083","0.000585567183264799","High Risk"
"589","19052","220","0.00313479623824451","3.41131697774724","10.2339509332417","0.0128525370056324","0.0937802048373739","0.000297869375862933","0.000643957341961456","High Risk"
"603","19051","254","0.00361926474779139","3.9364811262555","11.8094433787665","0.0148311545591355","0.108217444689788","0.000343725658982377","0.000743093045671452","High Risk"
"617","19050","254","0.00361926474779139","3.93422523091453","11.8026756927436","0.0148226552087264","0.108155428076103","0.000343528678712995","0.00074266719830019","High Risk"
"631","19049","254","0.00361926474779139","3.93132524577554","11.7939757373266","0.0148117291744241","0.108075704848348","0.000343275457810628","0.000742119765524517","High Risk"
"645","19048","301","0.0042889712168709","4.65533958398953","13.9660187519686","0.0175395381511933","0.127979517184117","0.000406494941794798","0.000878792596521934","High Risk"
"659","19047","325","0.00463094898831576","5.0232870402229","15.0698611206687","0.0189258233683737","0.138094727245231","0.000438623377778183","0.000948250365308342","High Risk"
"673","19046","351","0.00500142490738102","5.41846635142682","16.2553990542804","0.0204147077946057","0.148958565755092","0.000473129644873887","0.00102284871559389","High Risk"
"687","19045","315","0.00448845825021374","4.85928990488981","14.5778697146694","0.0183079449171961","0.133586296910376","0.000424303475915168","0.000917292480114064","High Risk"
"701","19044","438","0.00624109432886862","6.75203260470434","20.256097814113","0.0254390751376343","0.185619514360098","0.000589573982977574","0.00127458720409906","High Risk"
"715","19043","438","0.00624109432886862","6.74396941026036","20.2319082307811","0.0254086961064123","0.185397849814841","0.000588869920965114","0.00127306510770762","High Risk"
"729","19042","438","0.00624109432886862","6.73463383760006","20.2039015128002","0.0253735232409565","0.185141206435739","0.000588054757431562","0.00127130282334788","High Risk"
"743","19041","511","0.00728127671701339","7.84127013657842","23.5238104097353","0.0295429053526676","0.215563644302301","0.000684684025785754","0.00148020354241233","High Risk"
"757","19040","560","0.00797948133371331","8.57234573266011","25.7170371979803","0.0322973184470379","0.235661577036017","0.000748520084684415","0.00161820933334195","High Risk"
"771","19039","632","0.00900541464804788","9.64684209476257","28.9405262842877","0.0363456095751931","0.265200458820473","0.000842342958030478","0.00182104296791779","High Risk"
"785","19038","666","0.00948988315759476","10.1505870278021","30.4517610834062","0.0382435277210365","0.279048864968127","0.000886328958093622","0.00191613534726065","High Risk"
"799","19037","806","0.0114847534910231","12.2682260381344","36.8046781144031","0.0462219811812131","0.337264686440022","0.00107123696119782","0.0023158839479398","High Risk"
"813","19036","806","0.0114847534910231","12.2496099172162","36.7488297516485","0.0461518427611943","0.336752912352661","0.00106961143875148","0.00231236976622572","High Risk"
"827","19035","806","0.0114847534910231","12.19991091896","36.5997327568799","0.0459645959534665","0.335386641710829","0.00106527182162175","0.00230298804209279","High Risk"
"841","19034","845","0.012040467369621","12.7394806882318","38.2184420646955","0.047997488373586","0.350219905173723","0.00111238597473503","0.00240484310765533","High Risk"
"855","19033","911","0.0129809062410943","13.6692265358955","41.0076796076865","0.0515004149532267","0.375779463728196","0.00119356952266132","0.00258035205879261","High Risk"
"869","19032","997","0.0142063265887717","14.8798946717401","44.6396840152203","0.056061749217672","0.409061831362225","0.001299282642947","0.00280889096029064","High Risk"
"883","19031","1029","0.0146622969506982","15.3173614743535","45.9520844230604","0.057709956729903","0.421088191453138","0.0013374813692176","0.00289147195796541","High Risk"
"897","19030","1246","0.0177543459675121","18.5155994221823","55.546798266547","0.0697596934871228","0.509010660054728","0.00161674511034612","0.00349520618180885","High Risk"
