"","X.18449.","X.39698.","X.0.00212164852164955.","X.1.16690668690725.","X.83.605323233909.","X.0.0439645787050243.","X.0.101370668961122.","X.0.0243341653804615.","X.0.00220278013834433.","X.High.Risk."
"1","19094","1741","9.30472587080423e-05","0.10097183376198","7.23432549826646","0.00380423231971077","0.00877155170120015","0.00210562277952544","0.000190605429241809","Medium Risk"
"38","19093","1694","9.05353568359699e-05","0.0983713636439534","7.04800970522404","0.00370625655656124","0.00854564555254623","0.00205139370480251","0.000185696498655827","Low Risk"
"75","19092","1624","8.67942263882026e-05","0.0943861992821776","6.76248477135799","0.0035561108129456","0.00819944925269989","0.00196828881755146","0.00017817366842214","Low Risk"
"112","19091","1584","8.46564375609069e-05","0.0920741496869961","6.59683343359005","0.00346900163143368","0.00799859856192528","0.00192007433918072","0.000173809191824075","Low Risk"
"149","19090","1550","8.28393170577056e-05","0.0899535507462225","6.44489895426697","0.00338910557797928","0.00781437943314968","0.00187585228962894","0.000169806118330246","Low Risk"
"186","19089","1485","7.93654102133503e-05","0.0862052765522549","6.17634648210124","0.00324788494940833","0.00748876208366027","0.00179768740708039","0.000162730467774653","Low Risk"
"223","19088","1491","7.96860785374446e-05","0.0863743039674091","6.1884567834968","0.00325425325561501","0.00750344571032828","0.00180121223140458","0.000163049542330583","Low Risk"
"260","19087","1483","7.92585207719855e-05","0.0859540609808825","6.15834764870594","0.0032384201079746","0.00746693866726443","0.00179244866663235","0.000162256245904755","Low Risk"
"297","19086","1509","8.06480835097276e-05","0.0874720567608965","6.26710744010881","0.00329561238023863","0.00759880889255898","0.00182410429151807","0.00016512178004885","Low Risk"
"334","19085","1521","8.12894201579163e-05","0.0882153652846175","6.32036324032459","0.00332361740108555","0.00766338104998985","0.00183960492472888","0.000166524930164524","Low Risk"
"371","19084","1468","7.84568499617496e-05","0.0850562476883944","6.09402205063984","0.00320459393866484","0.00738894448393952","0.00177372605805923","0.000160561435761986","Low Risk"
"408","19083","1477","7.89378524478911e-05","0.085614276136904","6.13400309568372","0.00322561831526617","0.00743742112543917","0.0017853629410297","0.000161614831030691","Low Risk"
"445","19082","1512","8.08084176717748e-05","0.0874844622409169","6.26799625510911","0.00329607977125529","0.00759988657239625","0.00182436299001206","0.000165145197983893","Low Risk"
"482","19081","1533","8.1930756806105e-05","0.0886235707281634","6.34960992168874","0.00333899702016903","0.00769884237637533","0.00184811746380673","0.000167295503213334","Low Risk"
"519","19080","1569","8.38547667506711e-05","0.0906931676470024","6.49789026090126","0.00341697151260006","0.00787863089459749","0.00189127593933792","0.000171202299736439","Low Risk"
"556","19079","1615","8.6313223902061e-05","0.0933089249738364","6.68530133606631","0.0035155232392798","0.00810586506253588","0.00194582380687546","0.000176140088122543","Low Risk"
"593","19078","1676","8.95733518636869e-05","0.0968366418702597","6.9380515471269","0.00364843411285865","0.00841232231889429","0.00201938928330676","0.000182799390704602","Low Risk"
