"","X.18426.","X.29.","X.0.000413223140495868.","X.0.0113681765213312.","X.0.0341635516140261.","X.4.22793853004828e.05.","X.0.000596829267369887.","X.5.38075937920911e.05.","X.6.03991218578326e.05.","X.Low.Risk."
"1","19094","191","0.00272157309774865","0.0749018206839783","0.225466748498511","0.000278567361305784","0.00393234558590886","0.000355110128885155","0.000397953373293977","Low Risk"
"15","19093","183","0.00260758050726703","0.07176357850878","0.216007224792516","0.000266895924832004","0.00376758787171095","0.000340211379048213","0.000381279892617148","Low Risk"
"29","19092","183","0.00260758050726703","0.0717590519314658","0.215934799555489","0.000266879090038314","0.00376735022640195","0.000340097309299896","0.000381255842911878","Low Risk"
"43","19091","183","0.00260758050726703","0.0717567764609154","0.215898392026683","0.00026687062733579","0.00376723076419806","0.000340039967442025","0.000381243753336843","Low Risk"
"57","19090","163","0.00232259903106298","0.0639197998157863","0.192387643447564","0.000237724127494891","0.00335578949032878","0.000303010538429914","0.000339605896421273","Low Risk"
"71","19089","165","0.00235109717868339","0.0647033117294517","0.194735746291916","0.000240638086653004","0.00339692386579621","0.000306708800409767","0.000343768695218577","Low Risk"
"85","19088","166","0.00236534625249359","0.0651020855011","0.196022082751141","0.000242121166187141","0.00341785948880775","0.000308734780333048","0.000345887380267344","Low Risk"
"99","19087","166","0.00236534625249359","0.0651014157181298","0.196011366223618","0.000242118675197296","0.00341782432520181","0.000308717901802198","0.000345883821710423","Low Risk"
"113","19086","170","0.0024223425477344","0.0666667368081052","0.200680328114635","0.000247940260863024","0.00350000368242552","0.00031607151678055","0.000354200372661463","Low Risk"
"127","19085","170","0.0024223425477344","0.066665630313017","0.200662624193225","0.000247936145697142","0.00349994559143339","0.000316043633104329","0.000354194493853059","Low Risk"
"141","19084","170","0.0024223425477344","0.066662837569707","0.200617940300265","0.000247925759205497","0.00349979897240962","0.000315973255972917","0.000354179656007853","Low Risk"
"155","19083","152","0.00216585921915076","0.059600602566907","0.179314970224117","0.000221660601006584","0.00312903163476262","0.000282421078102984","0.000316658001437977","Low Risk"
"169","19082","150","0.00213736107153035","0.0588191177067098","0.176999300235255","0.000218754180663024","0.00308800367960226","0.000278773897870527","0.000312505972375749","Low Risk"
"183","19081","143","0.00203761755485893","0.0560760296216619","0.168768198084521","0.000208552361765923","0.00294399155513725","0.000265809911983121","0.00029793194537989","Low Risk"
"197","19080","147","0.00209461385009974","0.0576459546663735","0.173510823251317","0.00021439106999971","0.00302641261998461","0.000273279546620825","0.000306272957142442","Low Risk"
"211","19079","131","0.00186662866913651","0.0513701643155253","0.154602879832104","0.00019105077810587","0.00269693362656508","0.000243499535735563","0.000272929683008386","Low Risk"
"225","19078","131","0.00186662866913651","0.0513726328814869","0.154642376887488","0.000191059958949538","0.00269706322627806","0.000243561743597794","0.00027294279849934","Low Risk"
"239","19077","131","0.00186662866913651","0.0513721516894478","0.154634677814863","0.000191058169348225","0.00269703796369601","0.000243549617558409","0.000272940241926036","Low Risk"
"253","19076","122","0.00173838700484469","0.0478421927494121","0.144001729758618","0.000177929899054338","0.00251171511934414","0.000226802724369824","0.000254185570077626","Low Risk"
"267","19075","114","0.00162439441436307","0.0447064310505785","0.134581893674459","0.000166267687720206","0.00234708763015537","0.000211966482537273","0.000237525268171724","Low Risk"
"281","19074","114","0.00162439441436307","0.0447053819765621","0.134565108490197","0.000166263786109032","0.00234703255376951","0.000211940045872061","0.000237519694441475","Low Risk"
"295","19073","112","0.00159589626674266","0.0439223831905345","0.13222521568805","0.000163351735323917","0.00230592511750306","0.000208254714708679","0.00023335962189131","Low Risk"
"309","19072","86","0.0012254203476774","0.0337290594418492","0.101577176774916","0.000125441744970181","0.00177077562069708","0.000159984053420493","0.000179202492814545","Low Risk"
"323","19071","86","0.0012254203476774","0.0337301453716208","0.101594551651261","0.000125445783651595","0.00177083263201009","0.000160011418850736","0.000179208262359421","Low Risk"
"337","19070","86","0.0012254203476774","0.0337308383948477","0.101605640022892","0.000125448361074278","0.00177086901572951","0.000160028883036056","0.000179211944391826","Low Risk"
"351","19069","94","0.00133941293815902","0.0368726719757347","0.111122626219905","0.000137133154344955","0.00193581527872607","0.000175018136296351","0.000195904506207078","Low Risk"
"365","19068","80","0.00113992590481619","0.0313950848761286","0.0947978470462704","0.00011676146016281","0.00164824195599675","0.000149306609097876","0.000166802085946871","Low Risk"
"379","19067","86","0.0012254203476774","0.0337508297085418","0.101925501041997","0.000125522710769038","0.00177191855969844","0.000160532664141145","0.000179318158241482","Low Risk"
"393","19066","86","0.0012254203476774","0.033751918737181","0.101942925500225","0.00012552676097545","0.001771975733702","0.000160560107662855","0.000179323944250643","Low Risk"
"407","19065","93","0.00132516386434882","0.0365012253008617","0.110273523309085","0.000135751707016435","0.00191631432829524","0.000173680799211809","0.000193931010023478","Low Risk"
"421","19064","93","0.00132516386434882","0.0365036947564425","0.110313034598377","0.000135760891168685","0.00191644397471323","0.000173743029492444","0.000193944130240979","Low Risk"
"435","19063","93","0.00132516386434882","0.0365100595896347","0.110414871929453","0.00013578456261981","0.00191677812845582","0.000173903423288888","0.000193977946599729","Low Risk"
"449","19062","106","0.00151040182388145","0.0416186911312754","0.125930406062788","0.000154784074186326","0.00218498128439196","0.000198340389548891","0.000221120105980466","Low Risk"
"463","19061","121","0.00172413793103448","0.0475177227776495","0.143904254097564","0.000176723162782356","0.0024946804458266","0.000226649200203664","0.000252461661117652","Low Risk"
"477","19060","128","0.0018238814477059","0.0502818007520202","0.152471194477464","0.000187003045176838","0.00263979453948106","0.000240142131302006","0.000267147207395483","Low Risk"
"491","19059","178","0.00253633513821602","0.0699323503450526","0.212177793608615","0.000260085404168285","0.00367144839311526","0.000334180024933568","0.000371550577383264","Low Risk"
"505","19058","164","0.00233684810487318","0.0644401105954747","0.195618572035431","0.00023965921531563","0.00338310580626242","0.000308099250955804","0.000342370307593757","Low Risk"
"519","19057","164","0.00233684810487318","0.0644539190925441","0.195839507988542","0.000239710570497081","0.00338383075235857","0.000308447225081954","0.000342443672138687","Low Risk"
"533","19056","164","0.00233684810487318","0.0644742408711668","0.196164656446505","0.000239786149223956","0.00338489764573626","0.000308959333903245","0.000342551641748509","Low Risk"
"547","19055","168","0.00239384440011399","0.0660620857373103","0.201193998756212","0.000245691503065631","0.00346825950120879","0.000316880548041033","0.00035098786152233","Low Risk"
"561","19054","197","0.00280706754060986","0.077473744681033","0.236053269128502","0.00028813260384323","0.00406737159575423","0.00037178389887739","0.000411618005490328","Low Risk"
"575","19053","200","0.00284981476204047","0.0786828639832255","0.24011704630214","0.000292629439440014","0.00413085035911934","0.000378184347925871","0.000418042056342877","Low Risk"
"589","19052","220","0.00313479623824451","0.0865691285630287","0.264416401836045","0.00032195924603876","0.00454487924955901","0.00041645583289177","0.000459941780055372","Low Risk"
"603","19051","254","0.00361926474779139","0.0999840426152637","0.305857534508795","0.000371850652890427","0.00524916223730134","0.000481725616851352","0.000531215218414896","Low Risk"
"617","19050","254","0.00361926474779139","0.100030852799918","0.306606497463265","0.000372024744648175","0.0052516197719957","0.000482905233504643","0.000531463920925965","Medium Risk"
"631","19049","254","0.00361926474779139","0.100087474855725","0.307512450356175","0.000372235327735927","0.00525459242992556","0.000484332109310976","0.000531764753908467","Medium Risk"
"645","19048","301","0.0042889712168709","0.118685362590155","0.365658591411135","0.000441402732009046","0.00623098153598315","0.000575912281472538","0.000630575331441495","Medium Risk"
"659","19047","325","0.00463094898831576","0.128241795145962","0.39630445901251","0.000476944060327348","0.00673269424516301","0.000624179522944703","0.000681348657610497","Medium Risk"
"673","19046","351","0.00500142490738102","0.138649626827902","0.430384624857723","0.000515651827135652","0.00727910540846488","0.000677855784150913","0.000736645467336646","Medium Risk"
"687","19045","315","0.00448845825021374","0.124501041404743","0.387392838024481","0.000463031823088381","0.00653630467374902","0.000610143719888557","0.000661474032983401","Medium Risk"
"701","19044","438","0.00624109432886862","0.173211477148565","0.540192411806508","0.000644190804663229","0.00909360255029967","0.00085080304859525","0.000920272578090326","Medium Risk"
"715","19043","438","0.00624109432886862","0.173393059814423","0.543097734460239","0.000644866128755822","0.00910313564025723","0.000855378931774876","0.000921237326794031","Medium Risk"
"729","19042","438","0.00624109432886862","0.173617608381136","0.546690511527642","0.000645701247330283","0.00911492444000964","0.000861037555656037","0.000922430353328976","Medium Risk"
"743","19041","511","0.00728127671701339","0.202911335082705","0.643524934990993","0.000754647546306089","0.010652845091842","0.00101355177261081","0.00107806792329441","Medium Risk"
"757","19040","560","0.00797948133371331","0.222830982497301","0.712631143154303","0.000828730707005711","0.0116986265811083","0.00112239405046803","0.00118390101000816","Medium Risk"
"771","19039","632","0.00900541464804788","0.252040372113685","0.813210217141845","0.000937363347928007","0.0132321195359685","0.00128080609199841","0.00133909049704001","Medium Risk"
"785","19038","666","0.00948988315759476","0.265933162598027","0.862297372728305","0.000989032025018322","0.0139614910363964","0.00135811836204708","0.00141290289288332","Medium Risk"
"799","19037","806","0.0114847534910231","0.322258616067361","1.05033848403702","0.00119851201901612","0.0169185773435364","0.0016542831123583","0.00171216002716589","Medium Risk"
"813","19036","806","0.0114847534910231","0.322764697559594","1.05843578791275","0.00120039418669389","0.0169451466218787","0.00166703636596258","0.00171484883813412","Medium Risk"
"827","19035","806","0.0114847534910231","0.323910240161987","1.07676446955104","0.00120465457418645","0.0170052876085043","0.00169590403954289","0.00172093510598064","Medium Risk"
"841","19034","845","0.012040467369621","0.340780173827723","1.14801569660406","0.00126739554448268","0.0178909591259554","0.0018081247221514","0.00181056506354669","Medium Risk"
"855","19033","911","0.0129809062410943","0.369151098625301","1.26574359681358","0.00137290985089736","0.0193804326778283","0.00199354616498139","0.00196129978699622","Medium Risk"
"869","19032","997","0.0142063265887717","0.40625290889234","1.42128478679155","0.0015108951934615","0.0213282777168479","0.00223852353919668","0.002158421704945","Medium Risk"
