"","X.18467.","X.18224.","X.0.000973976589715889.","X.0.176776751033434.","X.17.271160632189.","X.9.51467361312623e.05.","X.0.000694250512570943.","X.0.000502694401360494.","X.3.33703046238897e.05.","X.Medium.Risk."
"1","19093","1694","9.05353568359699e-05","0.0164491217401914","1.6062167031417","8.85342804783758e-06","6.46001871440092e-05","4.67505433616422e-05","3.10511535061428e-06","Low Risk"
"2","19092","1624","8.67942263882026e-05","0.0157758659366575","1.54014407411262","8.49106087051817e-06","6.19561279905158e-05","4.48274334211218e-05","2.97802425338352e-06","Low Risk"
"3","19091","1584","8.46564375609069e-05","0.0153861729734166","1.50215726038649","8.28131601816096e-06","6.0425697445245e-05","4.37217892208092e-05","2.90446156588579e-06","Low Risk"
"4","19090","1550","8.28393170577056e-05","0.0150610800624014","1.47015385682237","8.1063409196727e-06","5.91489689230491e-05","4.27902981566718e-05","2.84309348774076e-06","Low Risk"
"5","19089","1485","7.93654102133503e-05","0.0144331527163525","1.40867248586714","7.76837092557086e-06","5.66829269842578e-05","4.10008213736489e-05","2.72455908377178e-06","Low Risk"
"6","19088","1491","7.96860785374446e-05","0.014493134317064","1.41444144304975","7.800654885437e-06","5.6918491088674e-05","4.1168732641406e-05","2.73588186392172e-06","Low Risk"
"7","19087","1483","7.92585207719855e-05","0.0144140354480668","1.40679020408235","7.75808141820919e-06","5.6607848257962e-05","4.09460356800209e-05","2.72095030002312e-06","Low Risk"
"8","19086","1509","8.06480835097276e-05","0.0146701852248002","1.43161393962925","7.89594918121795e-06","5.76138182893858e-05","4.16685553268489e-05","2.76930392135039e-06","Low Risk"
"9","19085","1521","8.12894201579163e-05","0.0147901145651721","1.44315028169207","7.96049887588116e-06","5.80848135166357e-05","4.20043320989295e-05","2.79194308966951e-06","Low Risk"
"10","19084","1468","7.84568499617496e-05","0.0142828292978332","1.39323834806112","7.68746219434575e-06","5.60925659229282e-05","4.0551595358667e-05","2.69618239827004e-06","Low Risk"
"11","19083","1477","7.89378524478911e-05","0.0143865510778147","1.4025302219067","7.74328847677981e-06","5.64999096403344e-05","4.08220446388164e-05","2.71576205098954e-06","Low Risk"
"12","19082","1512","8.08084176717748e-05","0.0147214584136274","1.43548664373532","7.92354600342127e-06","5.78151820853394e-05","4.17812742525603e-05","2.77898280683844e-06","Low Risk"
"13","19081","1533","8.1930756806105e-05","0.0149311235631829","1.45566543567477","8.03639429678596e-06","5.8638594308362e-05","4.23685981707499e-05","2.81856148372201e-06","Low Risk"
"14","19080","1569","8.38547667506711e-05","0.0152837506352522","1.48994195066196","8.22618913565915e-06","6.00234569902437e-05","4.33662504159669e-05","2.88512720995463e-06","Low Risk"
"15","19079","1615","8.6313223902061e-05","0.0157356261948742","1.53379992250953","8.46940259209036e-06","6.17980955501894e-05","4.46427805445625e-05","2.97042816151372e-06","Low Risk"
"16","19078","1676","8.95733518636869e-05","0.0163287831129885","1.59167758216726","8.788658062294e-06","6.41275845357515e-05","4.63273677065601e-05","3.08239892085581e-06","Low Risk"
"17","19077","1717","9.17645854116649e-05","0.0167277084455713","1.63059038702018","9.00337206248602e-06","6.56942731133168e-05","4.74599638046093e-05","3.15770441093102e-06","Low Risk"
"18","19076","1779","9.50781580939731e-05","0.0173284243714911","1.6893163370066","9.32669602538951e-06","6.80534483840538e-05","4.91692413049139e-05","3.27110209090406e-06","Low Risk"
"19","19075","1880","0.000100476074882895","0.0183044238698091","1.78486271999812","9.85200925910281e-06","7.18864645924357e-05","5.19502143282652e-05","3.4553423848411e-06","Low Risk"
"20","19074","1956","0.000104537873654756","0.0190518011234913","1.85736087537289","1.02542709022821e-05","7.48216188953598e-05","5.40603456386032e-05","3.59642545418444e-06","Low Risk"
"21","19073","2029","0.000108439338264571","0.0197650989525809","1.92678470115357","1.06381899410168e-05","7.76229340036318e-05","5.60809955117759e-05","3.73107532021676e-06","Low Risk"
"22","19072","2079","0.00011111157429869","0.0202500441681765","1.97416741072667","1.08992025130697e-05","7.95274461214747e-05","5.74601166566104e-05","3.82261886016598e-06","Low Risk"
"23","19071","2231","0.000119235171842414","0.0217389282384792","2.11889113385294","1.1700566147931e-05","8.53746999199726e-05","6.16724453419238e-05","4.10367683122384e-06","Low Risk"
"24","19070","2444","0.000130618897347763","0.0238096751328601","2.32096808715844","1.28151064209165e-05","9.35070877165825e-05","6.75540971448336e-05","4.49457356544087e-06","Low Risk"
"25","19069","2606","0.00013927694209831","0.0253810289563142","2.47449416411102","1.36608578375197e-05","9.9678222727187e-05","7.20226271406152e-05","4.7911994251992e-06","Low Risk"
"26","19068","2784","0.000148790102379776","0.0271121980029106","2.64339782523485","1.45926267693063e-05","0.000106476995704518","7.69387371012856e-05","5.11799374686566e-06","Low Risk"
"27","19067","2965","0.000158463596823289","0.028865460340019","2.8148192523161","1.55362869960189e-05","0.00011336253505906","8.19281291579123e-05","5.44895863864509e-06","Low Risk"
"28","19066","3178","0.000169847322328638","0.0309382332440156","3.01699028126511","1.66519177302849e-05","0.000121502879547972","8.78125191265022e-05","5.84023782450041e-06","Low Risk"
"29","19065","3300","0.000176367578251889","0.0321311645798796","3.13305287727497","1.72939904144622e-05","0.000126187846244916","9.11906370459652e-05","6.06542853448035e-06","Low Risk"
"30","19064","3748","0.000200310813117601","0.0364976043013804","3.55859241874106","1.96441438457588e-05","0.000143336045864157","0.000103576390939877","6.88968524683941e-06","Low Risk"
"31","19063","4027","0.000215221890187988","0.0392197859270035","3.82373957960277","2.11093065174358e-05","0.00015402679551224","0.000111293764203918","7.40355389504992e-06","Low Risk"
"32","19062","4313","0.000230507080303151","0.0420092176579073","4.09549049876136","2.26106652838173e-05","0.000164981654664479","0.000119203346456948","7.93011740548688e-06","Low Risk"
