"","X.18467.","X.18224.","X.0.000973976589715889.","X.0.329447581471399.","X.23.6039195306584.","X.0.00124123242134874.","X.0.00905681350490276.","X.0.000687015681859342.","X.6.21901131627036e.05.","X.Medium.Risk."
"1","19093","1694","9.05353568359699e-05","0.0306235844497668","2.19408690106098","0.000115377947858031","0.000841870175444759","6.38610933422808e-05","5.78084129157264e-06","Low Risk"
"2","19092","1624","8.67942263882026e-05","0.0293581470758095","2.10342215308311","0.000110610264062245","0.00080708215166605","6.12222051876371e-05","5.54196355225146e-06","Low Risk"
"3","19091","1584","8.46564375609069e-05","0.0286350400049768","2.05161372566765","0.000107885873321796","0.000787203280935359","5.97142690992827e-05","5.40546198692507e-06","Low Risk"
"4","19090","1550","8.28393170577056e-05","0.0280203989947689","2.00757656236392","0.000105570141192414","0.000770306240814271","5.84325234241642e-05","5.28943565639763e-06","Low Risk"
"5","19089","1485","7.93654102133503e-05","0.0268453500046657","1.92338786781326","0.000101143006239183","0.000738003075876899","5.59821272805726e-05","5.06762061274225e-06","Low Risk"
"6","19088","1491","7.96860785374446e-05","0.0269538160652906","1.93115913192552","0.000101551664850251","0.000740984906486502","5.62083176938242e-05","5.08809584754121e-06","Low Risk"
"7","19087","1483","7.92585207719855e-05","0.0268091946511241","1.92079744644259","0.000101006786702161","0.000737009132340364","5.59067304761581e-05","5.06079553447593e-06","Low Risk"
"8","19086","1509","8.06480835097276e-05","0.0272792142471654","1.95447292426259","0.000102777640683453","0.000749930398315313","5.68868889335868e-05","5.14952155193809e-06","Low Risk"
"9","19085","1521","8.12894201579163e-05","0.0274961463684152","1.97001545248739","0.000103594957905588","0.000755894059534521","5.73392697600979e-05","5.190472021536e-06","Low Risk"
"10","19084","1468","7.84568499617496e-05","0.0265380294995618","1.90136928616152","9.99851401744925e-05","0.000729554555816355","5.53412544430173e-05","5.00960744747854e-06","Low Risk"
"11","19083","1477","7.89378524478911e-05","0.0267007285904992","1.91302618233006","0.000100598128091094","0.00073402730173076","5.56805400628986e-05","5.04032029967697e-06","Low Risk"
"12","19082","1512","8.08084176717748e-05","0.0273334472774778","1.95835855631885","0.000102981969988987","0.000751421313620115","5.69999841402166e-05","5.15975916933756e-06","Low Risk"
"13","19081","1533","8.1930756806105e-05","0.027713078489665","1.98555798071219","0.000104412275127723","0.000761857720753728","5.77916505866089e-05","5.23142249113392e-06","Low Risk"
"14","19080","1569","8.38547667506711e-05","0.0283638748534145","2.03218556538659","0.000106864226794127","0.000779748704411349","5.9148793066142e-05","5.35427389992767e-06","Low Risk"
"15","19079","1615","8.6313223902061e-05","0.0291954479848721","2.09176525691458","0.000109997276145644","0.000802609405751644","6.08829195677558e-05","5.51125070005302e-06","Low Risk"
"16","19078","1676","8.95733518636869e-05","0.0302981862678921","2.17077310872391","0.000114151972024829","0.000832924683615948","6.31825221025182e-05","5.71941558717577e-06","Low Risk"
"17","19077","1717","9.17645854116649e-05","0.0310393710154957","2.22387674682498","0.00011694447253379","0.000853300526114906","6.47281565930877e-05","5.85932969163532e-06","Low Risk"
"18","19076","1779","9.50781580939731e-05","0.0321601869752864","2.30417980931964","0.000121167278181486","0.000884112775747477","6.70654575300575e-05","6.07090711789122e-06","Low Risk"
"19","19075","1880","0.000100476074882895","0.0339860323291391","2.4349960885447","0.000128046364801121","0.000934306924342471","7.08729961531821e-05","6.41557357034036e-06","Low Risk"
"20","19074","1956","0.000104537873654756","0.0353599357637213","2.53343210063483","0.000133222707207975","0.000972076778730784","7.37380747210774e-05","6.6749265444605e-06","Low Risk"
"21","19073","2029","0.000108439338264571","0.0366796061679911","2.62798248066869","0.000138194720309295","0.00100835571781429","7.6490058082343e-05","6.92404190118117e-06","Low Risk"
"22","19072","2079","0.00011111157429869","0.037583490006532","2.69274301493856","0.000141600208734857","0.00103320430622766","7.83749781928017e-05","7.09466885783915e-06","Low Risk"
"23","19071","2231","0.000119235171842414","0.0403312968756964","2.88961503911855","0.000151952893548564","0.00110874401500428","8.41051353285845e-05","7.61337480607943e-06","Low Risk"
"24","19070","2444","0.000130618897347763","0.0441818420278808","3.16549491510814","0.000166460274241457","0.00121459900164521","9.21348949991375e-05","8.34024564144247e-06","Low Risk"
"25","19069","2606","0.00013927694209831","0.0471104256647535","3.37531904614226","0.000177494056740277","0.00129510842810451","9.82420361570167e-05","8.89307698101435e-06","Low Risk"
"26","19068","2784","0.000148790102379776","0.0503282521299592","3.60586654814279","0.000189617595535277","0.00138356940285609","0.000104952351750244","9.50050894671679e-06","Low Risk"
"27","19067","2965","0.000158463596823289","0.0536003116254774","3.84029968219931","0.000201945463635811","0.00147352129291246","0.000111775762550093","1.01181785298187e-05","Low Risk"
"28","19066","3178","0.000169847322328638","0.0574508567776617","4.11617955818863","0.000216452844328704","0.00157937627955339","0.000119805522220638","1.08450493651817e-05","Low Risk"
"29","19065","3300","0.000176367578251889","0.0596563333437016","4.27419526180703","0.000224762236087074","0.001640006835282","0.000124404727290155","1.12613791394272e-05","Low Risk"
"30","19064","3748","0.000200310813117601","0.0677551325370284","4.85444964886461","0.000255275412380107","0.00186265018746574","0.000141293611479853","1.27901966710828e-05","Low Risk"
"31","19063","4027","0.000215221890187988","0.0727988043560868","5.21581343008992","0.000274278037794742","0.0020013053108123","0.000151811465696197","1.37422950892344e-05","Low Risk"
"32","19062","4313","0.000230507080303151","0.0779690199125409","5.58624368611338","0.000293757431588955","0.00214343923653674","0.000162593208728016","1.47182812813181e-05","Low Risk"
"33","19061","4657","0.000248892064217894","0.0841877407217026","6.03179616188962","0.00031718719195682","0.00231439752482069","0.000175561459087959","1.5892194743125e-05","Low Risk"
"34","19060","5032","0.00026893383447379","0.0909668695107595","6.51750016891307","0.000342728355148533","0.00250076193792091","0.000189698359916384","1.71718969180599e-05","Low Risk"
"35","19059","5353","0.000286089589812838","0.0967698037541923","6.93326279892505","0.000364591590840639","0.00266028987553471","0.000201799547025513","1.82673219798042e-05","Low Risk"
