Date,CountryCode,CountryName,Alpha,Beta,Gamma,Delta,Omicron
2021-11-26,0,FRA,0.000430148640252354,0,0,0.986999952205707,0.00468384074941452
2021-11-27,0,FRA,0.0004277973191368,0,0,0.986405551858542,0.00475330354596445
2021-11-28,0,FRA,0.000377821856994427,0,0,0.986067819023331,0.00477000094455464
2021-11-29,0,FRA,0.00014985014985015,0,0,0.986563436563437,0.0018981018981019
2021-11-30,0,FRA,0.000109265734265734,0,0,0.98246284965035,0.0036604020979021
2021-12-01,0,FRA,0.000116252034410602,0,0,0.977447105324343,0.0054638456172983
2021-12-02,0,FRA,0.000114790793778339,0,0,0.974057280606095,0.0073466108018137
2021-12-03,0,FRA,0.000113442994895065,0,0,0.970901871809416,0.00896199659671015
2021-12-04,0,FRA,0.000113288773082588,0,0,0.969242098108077,0.00991276764472641
2021-12-05,0,FRA,0.000113211819313936,0,0,0.968300690592098,0.0104154873768821
2021-12-06,0,FRA,0.000108184129388219,0,0,0.9623519229729,0.0152539622437388
2021-12-07,0,FRA,0.000107290381417306,0,0,0.954777104232605,0.0202778820878708
2021-12-08,0,FRA,0.000106145844390192,0,0,0.943742702473198,0.0289247425963274
2021-12-09,0,FRA,0.00010500341261091,0,0,0.933270331285767,0.0371712080642621
2021-12-10,0,FRA,0.000103982530934803,0,0,0.925288551523344,0.0447644795674327
2021-12-11,0,FRA,0.000103151271339419,0,0,0.919593583990923,0.0496673371499304
2021-12-12,0,FRA,0.000154830718414533,0,0,0.916959124690339,0.0517650701899257
2021-12-13,0,FRA,0.000167121608824021,0,0,0.871427775611387,0.087571723023787
2021-12-14,0,FRA,0.000218090616651219,5.45226541628046e-05,0,0.842265961507006,0.110135761408865
2021-12-15,0,FRA,0.000174269158715636,4.35672896789091e-05,0,0.790179932906374,0.155404522284669
2021-12-16,0,FRA,0.000171188906958829,4.27972267397073e-05,0,0.769879311820594,0.172729607121459
2021-12-17,0,FRA,0.000169075999661848,4.2268999915462e-05,0,0.752388198495224,0.188646546622707
2021-12-18,0,FRA,0.000167126263892371,4.17815659730927e-05,0,0.743126932397426,0.197083646695078
2021-12-19,0,FRA,0.000166924007845428,4.17310019613571e-05,0,0.739306430747402,0.200893043441973
2021-12-20,0,FRA,0.000171666452083602,4.29166130209004e-05,0,0.646967941290073,0.273765074460324
2021-12-21,0,FRA,0.000168060165539263,4.20150413848158e-05,0,0.622746943405739,0.294777530355867
2021-12-22,0,FRA,8.19302773339888e-05,4.09651386669944e-05,0,0.602720085207488,0.310802507066486
2021-12-23,0,FRA,0.000122604111324533,4.08680371081777e-05,0,0.591850913400629,0.319465446074625
2021-12-24,0,FRA,0.000122120003256533,4.07066677521778e-05,0,0.578197508751934,0.330212488805666
2021-12-25,0,FRA,0.000123411082315192,4.11370274383973e-05,0,0.572791970052244,0.334814266321116
2021-12-26,0,FRA,8.15760492719338e-05,4.07880246359669e-05,0,0.565770689725497,0.339927397316148
2021-12-27,0,FRA,7.08089927420782e-05,3.54044963710391e-05,0,0.440007080899274,0.432288900690388
2021-12-28,0,FRA,3.53969770981558e-05,0,0,0.428161834979293,0.44125871650561
2021-12-29,0,FRA,4.14112970018221e-05,0,0,0.375807520291535,0.478217657777042
2021-12-30,0,FRA,4.08263248142402e-05,4.08263248142402e-05,0,0.366212133583735,0.483138727851719
2021-12-31,0,FRA,4.03177035036084e-05,4.03177035036084e-05,0,0.35608595734387,0.488086118614684
2022-01-01,0,FRA,4.09316032909009e-05,4.09316032909009e-05,0,0.354140231672875,0.489009864516393
2022-01-02,0,FRA,4.08146606260969e-05,4.08146606260969e-05,0,0.349904085547529,0.491326884616954
2022-01-03,0,FRA,3.92295319916833e-05,3.92295319916833e-05,0,0.260287944764819,0.552979482954768
2022-01-04,0,FRA,3.95069532237674e-05,3.95069532237674e-05,0,0.251145701643489,0.55704804045512
2022-01-05,0,FRA,4.0472721385786e-05,4.0472721385786e-05,0,0.246559818682208,0.559818682208192
2022-01-06,0,FRA,0,4.12133201450709e-05,0,0.242828882294758,0.562355753379492
2022-01-07,0,FRA,4.17153345569832e-05,4.17153345569832e-05,0,0.239946604371767,0.56236442516269
2022-01-08,0,FRA,4.14336026517506e-05,4.14336026517506e-05,0,0.237000207168013,0.563745597679718
2022-01-09,0,FRA,4.1630240206486e-05,4.1630240206486e-05,0,0.232546521793431,0.56687898089172
2022-01-10,0,FRA,4.83582378258136e-05,4.83582378258136e-05,0,0.141834711543111,0.628125151119493
2022-01-11,0,FRA,9.94629003381739e-05,4.97314501690869e-05,0,0.1328824348518,0.633827332405013
2022-01-12,0,FRA,0.000102291325695581,5.11456628477905e-05,0,0.124693126022913,0.639883387888707
2022-01-13,0,FRA,0.000106038916282276,0,0,0.118445469487302,0.645883039075341
2022-01-14,0,FRA,0.000110472823685373,0,0,0.11246133451171,0.648696420680513
2022-01-15,0,FRA,9.10871248349046e-05,0,0,0.103247256000364,0.659060891742952
2022-01-16,0,FRA,9.11327804611319e-05,0,0,0.0997903946049394,0.661350587806434
2022-01-17,0,FRA,9.11577028258888e-05,0,0,0.0716955332725615,0.674749316317229
2022-01-18,0,FRA,9.32618325950105e-05,0,0,0.0668687339706225,0.678013522965726
2022-01-19,0,FRA,9.45313607789384e-05,0,0,0.0631469490003309,0.678640639031999
2022-01-20,0,FRA,9.45402978019381e-05,0,0,0.0608839517844481,0.679413850153628
2022-01-21,0,FRA,4.74811262523147e-05,0,0,0.0576895683965624,0.682446227624519
2022-01-22,0,FRA,4.76985451943716e-05,0,0,0.0555211066062485,0.684140233722872
2022-01-23,0,FRA,4.75285171102662e-05,0,0,0.0540399239543726,0.685266159695818
2022-01-24,0,FRA,4.74158368895211e-05,0,0,0.0412517780938834,0.684115694642011
2022-01-25,0,FRA,0,0,0,0.0396300555875024,0.684828445466743
2022-01-26,0,FRA,0,0,0,0.0378617016171601,0.685205624070253
2022-01-27,0,FRA,0,0,0,0.0358239017840015,0.685545751007098
2022-01-28,0,FRA,0,0,0,0.0352686099735004,0.686966995904601
2022-01-29,0,FRA,0,0,0,0.0250572149521742,0.683880053987442
2022-01-30,0,FRA,0,0,0,0.0239360149454142,0.684570027438847
2022-01-31,0,FRA,0,0,0,0.0163082013708343,0.683526353108012
2022-02-01,0,FRA,0,0,0,0.0145628170695315,0.68391524917935
2022-02-02,0,FRA,0,0,0,0.0132458163325646,0.686594524274141
2022-02-03,0,FRA,0,0,0,0.0117089489824366,0.686032896570951
2022-02-04,0,FRA,0,0,0,0.0107788403073351,0.686805593941739
2022-02-05,0,FRA,0,0,0,0.0103223669684257,0.688120998012806
2022-02-06,0,FRA,0,0,0,0.00959086373212108,0.689156225745648
2022-02-07,0,FRA,0,0,0,0.00719264008921104,0.699526066350711
2022-02-08,0,FRA,0,0,0,0.00691788526434196,0.699381327334083
2022-02-09,0,FRA,5.62492968837889e-05,0,0,0.00658116773540331,0.700247496906289
2022-02-10,0,FRA,5.60067208064968e-05,0,0,0.00621674600952114,0.701932231867824
2022-02-11,0,FRA,5.65131393048884e-05,0,0,0.00610341904492795,0.702232269002543
2022-02-12,0,FRA,5.72672087962433e-05,0,0,0.00589852250601306,0.703413125644256
2022-02-13,0,FRA,5.78770691052205e-05,0,0,0.00584558397962727,0.704190299803218
2022-02-14,0,FRA,6.13986615091791e-05,0,0,0.00540308221280776,0.726898753607171
